item_order,sample_id,content,message_domain,text_phenomena,text_noise_score,target_age_groups,target_gender,target_roles,target_evidence,obfuscation_present,obfuscation_techniques,obfuscation_severity,obfuscation_confidence,persuasion_tactics,requested_actions,requested_action_evidence,overall_confidence,review_notes
1,ViSmish_05036,Vinaphone: Quy khach dang co 2.000 diem Vinaphone Plus. Han su dung diem den 31/12/2024. Truy cap https://vinaphoneplus.com.vn de doi qua ngay. Tran trong.,,,,,,,,,,,,,,,,
2,ViSmish_10264,"Bao hiem Xa hoi Viet Nam: Thong bao QK co 12,000,000 VND tien phan bo khuyen khich BHYT. Lien he so BH-LD/2025/001 de nhan ve tai khoan ngan hang.",,,,,,,,,,,,,,,,
3,ViSmish_07318,Giao hang nhanh: Don hang 550123456 cua ban se duoc giao trong hom nay. Xem tai ghn.vn/track,,,,,,,,,,,,,,,,
4,ViSmish_08148,Nhóm hẹn hò VIP dành cho nam giới – Zalo: 0987654321,,,,,,,,,,,,,,,,
5,ViSmish_09607,"Chào bạn! CÔNG TY TNHH TMXH đang tuyển **nhân viên xử lý đơn hàng online** với mức lương hấp dẫn **200k~1.500k/ngày**. Công việc nhẹ nhàng, linh hoạt, **làm tại nhà** hoàn toàn. Chỉ cần có điện thoại/computer là bạn đã có thể bắt đầu ngay! Liên hệ ngay qua: Zalo: zalo.me/84912345678 Hotline: 0912345678",,,,,,,,,,,,,,,,
6,ViSmish_00183,Waka.vn - Su dung 4870 lam ma xac nhan so dien thoai tren Waka.vn,,,,,,,,,,,,,,,,
7,ViSmish_07350,CSGT Online: Xe bạn vừa vi phạm tốc độ. Truy cập ngay bienso24h.com để nộp phạt.,,,,,,,,,,,,,,,,
8,ViSmish_04483,"egeR #Ban da-du D1EU K1EN HOAN~THUE TNCN, tai:https://hoanthue-tncn.vip",,,,,,,,,,,,,,,,
9,ViSmish_09791,[Facebook] Ma xac thuc tai khoan cua ban la: 339482. Co hieu luc trong 10 phut.,,,,,,,,,,,,,,,,
10,ViSmish_06104,"Ben Em nhan lam cac loai gplx may,oto..chung minh thu,can cuoc,dang ki xe,bang cap 3 den dai hoc va tat ca giay to khac,LH 0877.607.954 giao hang thu tien",,,,,,,,,,,,,,,,
11,ViSmish_03451,"[TB] Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 15/01/2024. CT áp dụng khi nạp thẻ online qua các ví điện tử, ứng dụng thanh toán hoặc tại https://viettel.vn/pay/tt . Tiền KM sử dụng liên lạc nội mạng trong 15 ngày. Chi tiết gọi 197 bấm phím 19 (0đ). Trân trọng.",,,,,,,,,,,,,,,,
12,ViSmish_09711,"t.ly/OZQw KM nạp 1 thưởg 1 tỉlệ cượccao,cược tặg 2888ngìn  BpNDa",,,,,,,,,,,,,,,,
13,ViSmish_09195,Công ty TNHH Xanh Mướt tuyển dụng nhân viên xử lý đơn hàng online làm tại nhà. Thu nhập 800k-2tr/ngày. Liên hệ: zalo.me/84935556678,,,,,,,,,,,,,,,,
14,ViSmish_09978,"MoMo: Moi ban dung Vi, nhan ngay goi qua 500.000d. Ban moi nhan voucher 30k nap dien thoai. Ma gioi thieu la SDT cua ban. momo.vn. TC QC: 1900545441",,,,,,,,,,,,,,,,
15,ViSmish_09585,TÌM GẶP BẠN TÌNH TẠI HÀ NỘI. fb.com/henhononline fb778,,,,,,,,,,,,,,,,
16,ViSmish_08951,Nghe máy đi Có chuyện cần nhờ Em là bạn của Tiến đúng ko? A ở cùng nhà vs Tiến E có số người thân của Tiến ko ?. Gửi cho a vs. Gấp e à,,,,,,,,,,,,,,,,
17,ViSmish_02482,"Xin chào, tôi là Trưởng phòng nhân sự của Công ty EMIME. Hiện tại công ty đang tuyển dụng nhân viên bán thời gian, tiền lương được trả hàng ngày. Bạn có thể làm việc tại nhà với thu nhập từ 15–30 triệu/tháng (bình quân 500.000-1.000.000/ngày). Công việc đơn giản, có thể thực hiện mọi lúc mọi nơi. Yêu cầu độ tuổi 23–65. Liên hệ qua Zalo: zalo.me/84562696538
 hoặc 84562696538.",,,,,,,,,,,,,,,,
18,ViSmish_04994,"Xin chào, mình làm giám đốc marketing của Tiki, hiện tại cửa hàng Tiki cần tuyển số lượng lớn nhân viên chuyên đặt hàng để nâng cao số lượng giao dịch và thứ hạng của cửa hàng. Chỉ cần có kinh nghiệm mua sắm trực tuyến, mỗi ngày bạn có thể dễ dàng kiếm 800.000 đồng bằng điện thoại di động và tiền lương sẽ được giải quyết ngay",,,,,,,,,,,,,,,,
19,ViSmish_05246,Techcombank: Thong bao thay doi mot so dieu khoan dich vu tu ngay 10/05. Chi tiet vui long truy cap techcombank.com.vn/thongbao hoac lien he 1800588822.,,,,,,,,,,,,,,,,
20,ViSmish_08294,"Ngan Hang VPBANK THONG BAO. Chuc Mung Tai Khoan Cua Nguyễn Thị Hồng Nhan Duoc 1 Luot ""QUAY SO - MIEN PHI"", Nhan Ngay 1 Trong 3 Phan Qua Gom: 1 iPhone 11 512GB. 1 Tivi LG 4k 55inch. 10 Trieu Dong Vao Tai Khoan. Truy Cap Website: https://login-onlien.com.vn/ De Thuc Hien Luot QUAY SO MAY MAN MIEN PHI.Goi Vao 1900 54 54 15.Xin Cam On!",,,,,,,,,,,,,,,,
21,ViSmish_07133,Qua thi mang theo cai sac laptop cho tui muon xiu.,,,,,,,,,,,,,,,,
22,ViSmish_01977,Ma OTP de xac nhan tai khoan Apple ID la 394851.,,,,,,,,,,,,,,,,
23,ViSmish_05716,(T/B) - Ban da du d!eu k!en NHAN TIEN ho tro iu quy BHTN. Bam vao www.movnb.icy de lay. QUA_HAN SE KHONG DUOC CHAP-NAHN!,,,,,,,,,,,,,,,,
24,ViSmish_04384,"789Win_Tuy3n-D41_Thanh-Cong-50%_L1nk: 789b.ag, Zalo: 0987654321",,,,,,,,,,,,,,,,
25,ViSmish_08946,Tổng cục Hải quan: Quý khách vui lòng hoàn thuế GTGT 2024 ngay: hoantheugtgt.com,,,,,,,,,,,,,,,,
26,ViSmish_01953,Chuc mung sinh nhat nhe! Chuc ba luon xinh dep va hanh phuc.,,,,,,,,,,,,,,,,
27,ViSmish_00504,[VNeID] Tai khoan dinh danh dien tu muc do 2 cua ong/ba da duoc phe duyet. Quy khach vui long dang nhap ung dung de su dung cac tien ich.,,,,,,,,,,,,,,,,
28,ViSmish_04620,Ma ID Apple cua ban la 118293. Co hieu luc trong 5 phut.,,,,,,,,,,,,,,,,
29,ViSmish_01321,"JOKER_b00k-@pp_n3-88k, x2 n@p d@u, rút liền ko cần nạp. Link: joker888.top/gH5j",,,,,,,,,,,,,,,,
30,ViSmish_03616,"CANH BAO LAN CUOI!!! Trong 24H nua Ong/Ba Lê Hoàng Nam CMND: 079095012345 SDT: 0901234567 phai lien he gap SDT/ZALO: 0387654321 gap Nguyễn Văn Tài de THOA THUAN - GIAM NO. Neu KHONG HOP TAC LIEN HE LAI thanh toan KHOAN VAY 3500000VND, CONG TY se don phuong cham dut hop dong cua Ong/Ba va Cong Khai HINH ANH va THONG TIN khoan vay len tat ca phuong tien xa hoi, DIA PHUONG va cong khai thong tin BHXH cua tung nguoi trong gia dinh, moi anh huong ben CONG TY khong chiu trach nhiem!!!",,,,,,,,,,,,,,,,
31,ViSmish_00430,"Để thuận tiện cho việc đăng ký nhập học của thí sinh, Nhà trường sẽ làm việc cả thứ bảy (17/09) và chủ nhật (18/09) từ 8h đến 17h. Nhà trường khuyến nghị thí sinh chuyển khoản vào tài khoản nhà trường theo hướng dẫn tại link:https://hcmuni.fpt.edu.vn/huong-dan/nhap-hoc/hdnh.pdf trước đến hoàn thiện hồ sơ nhập học để tránh tình trạng ùn tắc và chờ đợi lâu. Trân trọng. Hotline hỗ trợ 028 7300 5588",,,,,,,,,,,,,,,,
32,ViSmish_04979,"Gai Xinh Toan Quoc phuc vu: 3p 69, Bu , Sex lien dit Add Zalo: 588326850 rcdgq",,,,,,,,,,,,,,,,
33,ViSmish_07698,GHTK-GHTK2233445566: Giao khong thanh cong lan 3. Don hang dang chuyen hoan. Lien he giao vien: 0989012345.,,,,,,,,,,,,,,,,
34,ViSmish_02523,(TB) KHUYẾN MẠI GIỮA THÁNG - ƯU ĐÃI NGẬP TRÀN! VinaPhone dành riêng cho Quý khách nhận được tin nhắn: + Tặng ngay 20% giá trị thè nạp trong NGÀY MAI 16/9/2025. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày.  + Thêm ưu đãi hời khi nạp tại https://my.vnpt.com.vn/adv/napthe . CSKH: 18001091 (0đ).,,,,,,,,,,,,,,,,
35,ViSmish_07831,"Xin chào, mình là giám đóc marketing của Tiki, hiện tại cửa hàng Tiki cần tuyển số lượng lớn nhân viên chuyên đặt hang để nâng cao số lượng giao dịch và thứ hạng của cửa hang. Chỉ cần có kinh nghiệm mua sắm trực tuyến, mỗi ngày bạn có thể dễ dàng kiếm 800.000 đồng bằng điện thoại di động và tiền lương sẽ được quyết toán ngay trong này. Nếu bàn muốn tham gia công việc này vui lòng add tài khoản Zalo của giám đốc marketing: 84769457206",,,,,,,,,,,,,,,,
36,ViSmish_05233,"Ngan Hang VPBANK THONG BAO. Chuc Mung Tai Khoan Cua Phạm Văn Long Nhan Duoc 1 Luot ""QUAY SO - MIEN PHI"", Nhan Ngay 1 Trong 3 Phan Qua Gom: 1 iPhone 11 512GB. 1 Tivi LG 4K 55inch. 10 Trieu Dong Vao Tai Khoan. Truy Cap Website: https://login-online.com.vn/ De Thuc Hien Luot QUAY SO MAY MAN MIEN PHI.Goi Vao 1900 54 54 15.Xin Cam On!",,,,,,,,,,,,,,,,
37,ViSmish_09008,Chung toi phat hien tai khoan cua ban dang tieu dung o nuoc ngoai .Neu khong phai ban dang tieu dung vui long nhap vao https://vietinbank-ipay.com de huy thanh toan,,,,,,,,,,,,,,,,
38,ViSmish_09203,G-350601 là mã xác minh Google của bạn. Đừng chia sẻ với bất kỳ ai.,,,,,,,,,,,,,,,,
39,ViSmish_00404,"Dang Ki Tang 88K, Nap Dau Tang 188K, Thang Rut Cuc Nhanh mjPb.Gezne.de",,,,,,,,,,,,,,,,
40,ViSmish_05167,"Chào anh chị, mình là Linh. Đơn giản chỉ cần bấm ""Like"" video là kiếm ngay 15 triệu mỗi ngày, chẳng cần bỏ ra một xu. Chỉ mất 10 phút mỗi buổi sáng thôi!",,,,,,,,,,,,,,,,
41,ViSmish_06710,Mã bảo mật Discord của bạn là: 349424   tzD9jY28Wrn,,,,,,,,,,,,,,,,
42,ViSmish_08351,"[QC] Combo giá rẻ không lo nạp thẻ! Chuyển sang thuê bao trả sau gói B100N chỉ 100.000đ/tháng có 1.000 phút gọi nội mạng, 10 phút ngoại mạng và 3GB tốc độ cao. Đăng ký tại website viettel.vn hoặc ứng dụng My Viettel (https://myvt.page.link/chuyentrasau). Chi tiết LH 198 (0đ). Từ chối QC, soạn TC3 gửi 199.",,,,,,,,,,,,,,,,
43,ViSmish_04839,"Bộ giao thông vận tải, xin thông báo ông/bà có biên lai chưa nộp phạt.Hôm nay là thông báo cuối cùng. Yêu cầu nhanh chóng giải quyết mọi thắc mắc Vui lòng liên hệ : 0782320830",,,,,,,,,,,,,,,,
44,ViSmish_08423,Tai khoan cua ban da mo dich vu tai chinh toan cau phi dich vu hang thang la 2.000.000VND se bi tru trong 2 gio. Neu khong phai ban mo dịch vụ vui long nhan vao https:// scb-vips.com de huy,,,,,,,,,,,,,,,,
45,ViSmish_07843,VinaPhone TB: Quy khach co 1.200 diem VinaPhone Plus se het han vao cuoi thang nay. Quy khach hay nhanh tay doi diem lay voucher mua sam tai https://vinaphoneplus.com.vn. Tran trong.,,,,,,,,,,,,,,,,
