sample_id,content,label,data_origin,source_dataset,source_file,source_row_id,message_domain_v2,target_age_groups,target_gender,target_occupations,target_life_statuses,target_evidence,text_phenomena,text_noise_score,obfuscation_present,obfuscation_techniques,obfuscation_severity,persuasion_tactics,annotation_confidence,annotator_id,review_notes
phase1_01077,11A7 (AD 1/3)  T2 S1: Nghe+Nghe+H+H;C1: CC+SH+CN+H+T T3 S2: QP+Si+AV;C1: S+AV+AV+L+L T4 ;C1: AV+GDCD+V+CN+Si T5 S1: TD+TD+Nghe;C1: Tin+Tin+H+Si+T T6 S1: T+L+L+V;C1: T+T+V+V+D,0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,1078,,,,,,,,,,,,,,,
phase1_05052,Gmobile: Goi cuoc cua Quy khach da het han. Vui long nap tien de tiep tuc huong uu dai noi mang. Chi tiet LH 199.,0,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,2485,,,,,,,,,,,,,,,
phase1_00815,"Dang ky khong thanh cong do goi cuoc UMAX50N ngung dang ky tu ngay 01/09/2022. De biet cac uu dai danh rieng cho TB cua Quy khach, vui long bam goi *098# hoac truy cap My Viettel tai https://viettel.vn/goidata . Chi tiet LH 198 (0d). Tran trong.",0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,815,,,,,,,,,,,,,,,
phase1_00915,"[TB] NGÀY QUỐC TẾ HẠNH PHÚC - KHUYẾN MẠI SẺ CHIA Mừng ngày Quốc tế Hạnh phúc 20/3, soạn 4G gửi 191: MIỄN PHÍ 180 ngày dùng DATA 4G truy cập Internet, xem phim, nghe nhạc... Lưu ý: 1.Để sử dụng ưu đãi, vui lòng bật chế độ 4G/LTE trên máy (xem hướng dẫn tại http://viettel.vn/on4g ) 2.DV gia hạn sau 180 ngày với 300.000đ 3.KM áp dụng 1 lần đến 31/03/2022 cho TB nhận được tin nhắn. LH 198 (0đ).",0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,916,,,,,,,,,,,,,,,
phase1_06128,Amazon tuyển gấp nhân viên xử lý đơn hàng thương mại điện tử. Thu nhập 500.000-3.000.000 đồng/ngày. Tuổi 23-65. Zalo: zalo.me/84756789012,1,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,564,,,,,,,,,,,,,,,
phase1_02443,"Xin chào, tôi là nhà cung cấp của trang web eBay. Tôi đang chạy dịch vụ tăng doanh số sản phẩm trên trang web eBay, bạn có muốn trở thành đối tác không? Với một giờ mỗi ngày, bạn có thể kiếm được 100.000 đến 1.000.000 VND. Không có phí thành viên hoặc tiền đặt cọc, không giới hạn giới tính, 25-60 tuổi, tiền lương trả theo ngày. Nếu bạn quan tâm, xin vui lòng liên hệ với tôi trên Zalo: https://zalo.me/0335364535",1,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,121,,,,,,,,,,,,,,,
phase1_00934,"[TB] VALENTINE - YÊU ĐI NGẠI CHI!  Viettel tặng bạn mã YEU - giảm ngay 15.800đ khi mua ST30K: Chỉ còn 14.200đ/7 ngày có 7GB data tốc độ cao, gói cước gia hạn sau 7 ngày với 30.000đ. Soạn ST30K YEU gửi 191 để đăng ký hoặc truy cập https://myvt.page.link/vlt để nhận nhiều quà tặng khác. CT áp dụng với lần đăng ký đầu tiên từ thời điểm TB nhận được tin nhắn đến hết 14/02. LH 198 (0đ).",0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,935,,,,,,,,,,,,,,,
phase1_07703,ĐN – Telegram: D-a N-a-n-g-T-e-l-e: E-m s-i-n-h v-i-e-n D-u-y T-a-n c-a-n t-i-m b-a-n t-r-a-i. t.me/dn_duytan_sv hU2,1,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,2139,,,,,,,,,,,,,,,
phase1_01755,"Dang ky thanh cong goi D3 (15.000d/3GB mien phi luu luong truy cap MyTV). Hieu luc su dung den 21:49 28/11/2022. Goi cuoc gia han tu dong. Kiem tra dung luong, soan DATAKM gui 888. De huy, soan HUY D3 gui 888. CSKH 18001091",0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,1759,,,,,,,,,,,,,,,
phase1_02615,ZaloPay: Hoan tien 15% (toi da 20k) khi thanh toan tai Highland Coffee vao Chu nhat. Den 30/05/2026. Thong tin tai zalopay.vn.,0,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,47,,,,,,,,,,,,,,,
phase1_10093,Hoan Thue TNCN: B4n_da-du DIEU*KIEN nh4n_T1EN tu quy BH#TN. Nhan t41: mo.zxcmn.com. QUA HAN SE KHONG DUOC CHAP NHAN! sA2q,1,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,4530,,,,,,,,,,,,,,,
phase1_01732,(TB) KHUYẾN MẠI NẠP THẺ - NĂM MỚI VUI VẺ! VinaPhone tặng Bạn ưu đãi 20% khi nạp thẻ HÔM NAY 06/01/2023 (KM sử dụng gọi/nhắn tin trong 15 ngày). CSKH 18001091 (0đ).,0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,1736,,,,,,,,,,,,,,,
phase1_01289,"(TB) KHAI HỘI GIỖ TỔ - NẠP THẺ BÙNG NỔ! My VNPT dành tặng bạn ƯU ĐÃI 50% khi Nạp điện thoại VinaPhone cho thuê bao trả trước (khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày) ngày 06/04/2025. Áp dụng cho mọi mệnh giá, không giới hạn tại https://my.vnpt.com.vn/adv/napthe50. CSKH: 18001091 nhánh 3 (0đ). Trân trọng!",0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,1291,,,,,,,,,,,,,,,
phase1_05983,Nhóm đầu tư Telegram kiếm 1 triệu/ngày. Giáo viên hướng dẫn tận tình. Link nhóm: t.me/kiemtien_online_vip_2024.,1,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,419,,,,,,,,,,,,,,,
phase1_01644,(TB) Mừng tháng Sinh nhật - Bật ưu đãi: VinaPhone tặng Quý khách 20% giá trị thẻ nạp trong HÔM NAY 02/6/2023. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày. Quý khách nhận thêm nhiều ưu đãi khi nạp thẻ tại https://shop.vnpt.vn/nap-the.html . CSKH: 18001091 (0đ).,0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,1648,,,,,,,,,,,,,,,
phase1_03510,"Me oi con nhan dc qua roi, cam on me nhieu nha.",0,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,942,,,,,,,,,,,,,,,
phase1_03223,Grab: GrabFood chuc mung sinh nhat! Tang ma HPBD50 giam 50% phi giao hang cho 10 don hang tiep theo. Han dung 31/12/2025. Dat mon tai grab.com. Tu choi QC: TC gui 8069.,0,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,655,,,,,,,,,,,,,,,
phase1_07522,t;Ì;m:b;Ạ;n:t;Ì;n;h:D;N:T;e;l;e;g;r;a;m. n;H;ậ;n:h;Ì;n;h:e;M:t;Ạ;i: t.me/dn_timbantinh. mB9o,1,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,1958,,,,,,,,,,,,,,,
phase1_06549,BIDV: bạn có một thông báo mới. Vui lòng truy cập bidv.vn-ms.top để đọc trước khi bị hủy.,1,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,985,,,,,,,,,,,,,,,
phase1_02371,Em la nu sinh vien 21 tuoi MU0N KIEM chut Tjen trang TRAI CU0C S0NG EM C0 the den lam tinh khu vuc nao cung DU0C GIA CA Uu DAI Add ZAL0 e: 0367891234 QkR,1,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,49,,,,,,,,,,,,,,,
phase1_04144,Zalo: Ma xac thuc cua ban la 992013. Ma co hieu luc trong 5 phut.,0,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,1577,,,,,,,,,,,,,,,
phase1_05229,[GHN] Van don GHNR240327110: Dang phan loai tai kho TP.HCM. Du kien giao 29/05 (tu 8h-18h). Theo doi tai https://ghn.vn,0,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,2662,,,,,,,,,,,,,,,
phase1_01471,"876041 la ma xac thuc OTP tren MyVNPT cua Quy khach. Ma co hieu luc trong 2 phut. De dam bao an toan, Quy khach vui long khong chia se ma nay voi bat ky ai.",0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,1473,,,,,,,,,,,,,,,
phase1_02581,Grab: Nhap ma GRABFOOD giam ngay 25k cho don hang tu 100k. Uu dai ap dung den het ngay 15/05/2026. Dat ngay tai ung dung Grab.,0,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,13,,,,,,,,,,,,,,,
phase1_06859,Quỹ Bảo hiểm thất nghiệp: BẠN đã đủ ĐIỀU KIỆN nhận TIỀN hỗ trợ theo Nghị quyết 116. Bấm vào www.tgbnh.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN! cD6f,1,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,1295,,,,,,,,,,,,,,,
phase1_06856,Hoàn thuế TNCN: Ông (Bà) đã đủ điều kiện nhận tiền hỗ trợ COVID. Bấm vào www.yhnjk.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN! mN1b,1,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,1292,,,,,,,,,,,,,,,
phase1_08019,Ban mu0n kiem t13n th3m f33? Chi can pham nv online kiem 1tr moi n0y. K3t ban T3l3gr4m huong z4n: t.me/admin_ho_tro_24h,1,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,2455,,,,,,,,,,,,,,,
phase1_10309,G141 tr1 2Q dky nh4n 128k. Rut t1en tuc th1 tai: t.ly/qW66n vB88r,1,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,4746,,,,,,,,,,,,,,,
phase1_00131,"[TB] NẠP THẺ ĐỦ ĐẦY - DATA XÀI NGAY! Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 10/02/2025. Tiền KM sử dụng truy cập Internet trong 15 ngày. Nạp thẻ online tại các ví điện tử, ứng dụng thanh toán hoặc tại https://vtmoney.onelink.me/314y/km3 . Chi tiết gọi 197 bấm phím 19 (0đ). Trân trọng.",0,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,130,,,,,,,,,,,,,,,
phase1_04749,"Co.opmart: Le hoi trai cay giam gia den 40% cho cac loai tao, nho, cam nhap khau. Ap dung tu 15/06 den 25/06/2025. Thong tin tai saigonco-op.com.vn.",0,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,2182,,,,,,,,,,,,,,,
phase1_07292,"TB KHAN: Phong An ninh Dieu tra thong bao Ong Hoang Kieu Anh CMND: 272635418 vi pham hop dong tin dung voi so tien 19,453,000VND. Yeu cau thanh toan truoc 16H Ngay 30/05. Neu khong se tien hanh truy to toi chiem doat tai san. Lien he: 0944556677.",1,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,1728,,,,,,,,,,,,,,,
phase1_09727,Tr0_cap-NQ_116: Ong-Ba_da-du_d!eu-k!en-NHAN_T1EN-tu-NQ-116. Bam-vao-www.cde34.icu. QUA-HAN_SE_KH0NG^DUOC-CHAP_NHAN! gH8j,1,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,4164,,,,,,,,,,,,,,,
