item_order,sample_id,content,scope_decision,proposed_label,evidence,confidence,reason,needs_discussion
1,phase1_02022,"Tai khoan cua QK da duoc nap 10,000d tu VNPT MONEY vao 07/10/2025 14:16:13. Ma giao dich 2386315099. Chi tiet lien he CSKH 18001091 (0d) hoac truy cap https://my.vnpt.com.vn/app",accepted,0,"Tai khoan cua QK da duoc nap 10,000d tu VNPT MONEY ",high,Thông báo giao dịch nạp tiền bình thường,0
2,phase1_00261,Hi,accepted,0,Hi,high,Chào hỏi,1
3,phase1_01043,0968422623: lovely baby,excluded_language_scope,,lovely baby,high,Eng > 50%,1
4,phase1_00132,"(QC) MKTAMDUC gui tang khach hang Uu Dai Sinh Nhat trong thang 2 ma ""SN02"" giam gia -49% 01 san pham Gong, Kinh mat.  CT: https://mktd.vn/sinhnhat .HSD 28/02. De tu choi QC, Soan TC MKTAMDUC gui 1313",accepted,0,"De tu choi QC, Soan TC MKTAMDUC gui 1313",high,QC hợp pháp,0
5,phase1_01759,(TB) Chuc Mung Quy Khach da dang ky thanh cong goi KM_D3 trên app My VNPT. Thong tin chi tiet truy cap My VNPT http://onelink.to/v58hh4 hoac lien he 18001091,accepted,0,dang ky thanh cong goi KM_D3 trên app My VNPT,high,tb đky gói dịch vụ,0
6,phase1_00752,Ok em,accepted,0,Ok em,high,P2P ,1
7,phase1_00890,"Cam on Quy KH PE13000146339 da thanh toan so tien dien thang 5/2022, so tien 418,193d. LH 1900545454",accepted,0,da thanh toan so tien dien,high,"tbao thanh toán tiền điện, không có yếu tố dẫn dụ trừ tiền tk",0
8,phase1_02450,"Chào chị. Tôi là cán bộ thuế vừa trao đổi điện thoại với chị. Để làm tờ khai thuế online, mời chị truy cập và tải app của Cơ quan tại link: thuedientuu.vn. Sau khi đã tải app xong, chị hãy phản hồi lại tin nhắn này để chúng tôi theo dõi và hướng dẫn các bước tiếp theo. - Công chức thuế (Tên cơ quan)",accepted,1,cán bộ thuế vừa trao đổi điện thoại,high,Giả mạo công chức nhà nước,0
9,phase1_00977,Ok em .Hihi,accepted,0,Ok em .Hihi,high,P2P ,1
10,phase1_00425,"[QC] Săn vé máy bay, nhận ngay khuyến mại cùng My Viettel: Giảm 30.000đ khi thanh toán và nhập mã MT30. CT áp dụng cho các hạng vé và tất cả các chặng bay đến 31/01/2024. Nhanh tay truy cập https://myvt.page.link/mb để đặt vé (số lượng có hạn). Chi tiết LH 198 (0đ). Từ chối QC, soạn TC7 VT_MALL gửi 197.",accepted,0,"Từ chối QC, soạn TC7 VT_MALL gửi 197.",high,QC hợp pháp,0
11,phase1_02353,"Xin chào, tôi là trưởng phòng nhân sự của Cty HVS hiện tại Cty đang tuyển dụng nhân viên bán thời gian. Tiền lương được trả hàng ngày. Bạn có thể làm việc tại nhà và thu nhập từ 15tr đến 30tr một tháng bình quân 500k-1tr/ngày , Công việc đơn giản và có thể thực hiện mọi lúc mọi nơi. Để ứng tuyển, vui lòng liên hệ với chúng tôi qua Yêu cầu độ tuổi : 22 - 65tuoori zalo: zalo.me/84921053445 Liên hệ / zalo:84921053445",accepted,1,tuyển dụng nhân viên bán thời gian; làm việc tại nhà và thu nhập từ 15tr đến 30tr một tháng bình quân 500k-1tr/ngày,high,Lừa đảo tuyển dụng,0
