"sample_id","content","content_after","label","has_url","has_phone_number","sender_type","category","obfuscation_level","data_origin","source_dataset","source_file","source_row_id"
"phase1_05748","G!ai-tr!_2Q_N@p-100k~nh4n-250k. 1 v0ng rut MAXX 5.555k. N0*Hu, B4n*C4... DK: t.ly/xYz89_MnB","Giải trí 2Q Nạp 100k nhận 250k. 1 vòng rút tối đa 5.555k. Nổ Hũ, Bắn Cá... Đăng ký: t.ly/xYz89_MnB"," Ban Ca... Dang ky: t.ly/xYz89_MnB","1","0","personal_number","Cờ bạc / Betting","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","181"
"phase1_05750","N@p_50k-nh4n~288k! G!ai-tr!_2Q. 1 v0ng cuoc rut MAXX 8.888k. N0*Hu, B4n*C4. DK: t.ly/kH45j_AsD","Nạp 50k nhận 288k! Giải trí 2Q. 1 vòng cược rút tối đa 8.888k. Nổ Hũ, Bắn Cá. Đăng ký: t.ly/kH45j_AsD"," Ban Ca. Dang ky: t.ly/kH45j_AsD","1","0","personal_number","Cờ bạc / Betting","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","183"
"phase1_05752","G!ai-tr!^2Q_Nap-Xk-nhan-Yk. 1 v0ng cuoc rut MAXX 9.999k. N0*Hu, B4n*C4... DK: t.ly/zX90c_KjH","Giải trí 2Q Nạp Xk nhận Yk. 1 vòng cược rút tối đa 9.999k. Nổ Hũ, Bắn Cá... Đăng ký: t.ly/zX90c_KjH"," Bắn Cá... Đăng ký: t.ly/zX90c_KjH","1","0","personal_number","Cờ bạc / Betting","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","185"
"phase1_05754","N@p_100k-nh4n~333k! G!ai-tr!_2Q. BCR, No Hu, B4n C4. 1 vong cuoc rut MAXX. L1nk: t.ly/gT44y_PoL","Nạp 100k nhận 333k! Giải trí 2Q. Baccarat, Nổ Hũ, Bắn Cá. 1 vòng cược rút tối đa. Link: t.ly/gT44y_PoL","1","1","0","personal_number","Cờ bạc / Betting","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","187"
"phase1_05756","G!ai-tr!_2Q~Nap-50k-nh4n-200k. 1 v0ng rut MAXX 7.777k. No*Hu, BCR. DK: t.ly/cE22r_GhT","Giải trí 2Q Nạp 50k nhận 200k. 1 vòng rút tối đa 7.777k. Nổ Hũ, Baccarat. Đăng ký: t.ly/cE22r_GhT","1","1","0","personal_number","Cờ bạc / Betting","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","189"
"phase1_05758","T4i-App_G!ai-tr!^2Q-nh4n_288k. x3 n@p-dau. TLMN, X.0c-D.!a, N.0hu. L1nk: gtr2q.cc/dF45g","Tải App Giải trí 2Q nhận 288k. Nhân 3 nạp đầu. Tiến Lên Miền Nam, Xóc Đĩa, Nổ Hũ. Link: gtr2q.cc/dF45g","1","1","0","personal_number","Cờ bạc / Betting","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","191"
"phase1_05760","G!ai-tr!_2Q_t@ng-158k-khi_t4i-app. x3 n@p-dau. X.0c-D.!a, N.0hu. L1nk: gtr99.cc/vN77b","Giải trí 2Q tặng 158k khi tải app. Nhân 3 nạp đầu. Xóc Đĩa, Nổ Hũ. Link: gtr99.cc/vN77b","1","1","0","personal_number","Cờ bạc / Betting","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","193"
"phase1_05762","T4i-App_G!ai-tr!^2Q~nh4n_100k! x3 n@p-dau, rut ngay. TLMN, X.0c-D.!a. L1nk: gtr88.cc/rT44y","Tải App Giải trí 2Q nhận 100k! Nhân 3 nạp đầu, rút ngay. Tiến Lên Miền Nam, Xóc Đĩa. Link: gtr88.cc/rT44y","1","1","0","personal_number","Cờ bạc / Betting","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","195"
"phase1_05764","G!ai-tr!_2Q_t@ng-68k-khi_t4i-app. x3 n@p-dau. X.0c-D.!a, N.0hu. L1nk: gtr11.cc/mB22n","Giải trí 2Q tặng 68k khi tải app. Nhân 3 nạp đầu. Xóc Đĩa, Nổ Hũ. Link: gtr11.cc/mB22n"," No hu. Link: gtr11.cc/mB22n","1","0","personal_number","Cờ bạc / Betting","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","197"
"phase1_05766","T4i-App_G!ai-tr!^2Q-nh4n_300k. x3 n@p-dau. TLMN, X.0c-D.!a, N.0hu. L1nk: gtr44.cc/oP99l","Tải App Giải trí 2Q nhận 300k. Nhân 3 nạp đầu. Tiến Lên Miền Nam, Xóc Đĩa, Nổ Hũ. Link: gtr44.cc/oP99l","1","1","0","personal_number","Cờ bạc / Betting","LEVEL 3 – Dot/dash insertion","synthetic","synthetic_label_1","data/synthetic/synthetic_label_1.csv","199"
