id,cat,content_before,content_after
1427,Giả mạo ngân hàng,[SACOMBANK] f4t h13n th13t b1 l4 d4ng nh4p. V40 sacombank-online.vip z3 kwh04 t41 kwh04n.,[SACOMBANK] Phát hiện thiết bị lạ đăng nhập. Vào sacombank-online.vip để khóa tài khoản.
1429,Giả mạo ngân hàng,[MSB] t41 kh04n bj kwh04 z0 chw4 c4p nh4t CCCD. V40 msb.vn-xz.top z3 w3t khu0n m4t.,[MSB] Tài khoản bị khóa do chưa cập nhật CCCD. Vào msb.vn-xz.top để quét khuôn mặt.
1430,Giả mạo ngân hàng,[SHB DIGIBANK] Th0ng b4o: Th3 cua b4n bj kwh04 t4m th01. V40 shbdigibank-online.vip z3 m0.,[SHB DIGIBANK] Thông báo: Thẻ của bạn bị khóa tạm thời. Vào shbdigibank-online.vip để mở.
1431,Giả mạo ngân hàng,[VIETCOMBANK] f4t h13n j40 z1nh b4t thu0ng 5.OOO.OOO VND. V40 vietcombank.vn-qw.top z3 huy.,[VIETCOMBANK] Phát hiện giao dịch bất thường 5.OOO.OOO VND. Vào vietcombank.vn-qw.top để hủy.
1432,Giả mạo ngân hàng,[VCB DIGIBANK] Th0ng b4o: th13t b1 b4n d4ng ky b1 thay d01. V40 vcbdigibank.cc z3 x4c nh4n.,[VCB DIGIBANK] Thông báo: thiết bị bạn đăng ký bị thay đổi. Vào vcbdigibank.cc để xác nhận.
1433,Giả mạo ngân hàng,[BIDV] T41 kh04n b1 kwh04 z0 n3u s41 m4 f1n. V40 bidv.vn-mk.top z3 th3t l4p l41.,[BIDV] Tài khoản bị khóa do nếu sai mã PIN. Vào bidv.vn-mk.top để thiết lập lại.
1434,Giả mạo ngân hàng,[MB BANK] C4nh b4o: t41 kh04n b1 k3t n01 b01 w00rld. V40 mbbank-online.vip z3 ch4n.,[MB BANK] Cảnh báo: tài khoản bị kết nối bởi World. Vào mbbank-online.vip để chặn.
1435,Giả mạo ngân hàng,[TECHCOMBANK] Th0ng b4o rui r0 t41 kwh04n. Vui l0ng v4o techcombank.vn-er.top z3 b4o v3 t41 s4n.,[TECHCOMBANK] Thông báo rủi ro tài khoản. Vui lòng vào techcombank.vn-er.top để bảo vệ tài sản.
1437,Giả mạo ngân hàng,[SACOMBANK] f4t h13n z4ng nh4p l4 t41 H4 N01. V40 sacombank.vn-vb.top z3 d01 m4 kwh4u ng4y.,[SACOMBANK] Phát hiện đăng nhập lạ tại Hà Nội. Vào sacombank.vn-vb.top để đổi mật khẩu ngay.
1438,Giả mạo ngân hàng,[TPBANK] T41 kh04n bj h4n ch3 j40 z1nh. V40 tpbank-online.vip z3 m0 kwh04.,[TPBANK] Tài khoản bị hạn chế giao dịch. Vào tpbank-online.vip để mở khóa.
