"norm_id","sample_id","source_text","normalized_text"
"sms_norm_00001","phase1_00001","Hương đang làm gì vậy? Dạo này công việc thế nào rồi?","Hương đang làm gì vậy? Dạo này công việc thế nào rồi?"
"sms_norm_00002","phase1_00002","Linh ơi anh Tuấn nè, hôm nay vô tình gặp chị Mai nên xin được số em","Linh ơi, anh Tuấn nè, hôm nay vô tình gặp chị Mai nên xin được số của em."
"sms_norm_00003","phase1_00003","Thảo dạo này khoẻ không, công việc ổn chứ ?","Thảo dạo này khỏe không, công việc ổn chứ?"
"sms_norm_00004","phase1_00004","Chào Phương! Bạn và gia đình dạo này khoẻ chứ?","Chào Phương! Bạn và gia đình dạo này khỏe chứ?"
"sms_norm_00005","phase1_00005","Chào Hùng. Lâu rồi không gặp. dạo này công việc vẫn ổn chứ","Chào Hùng. Lâu rồi không gặp, dạo này công việc vẫn ổn chứ?"
"sms_norm_00006","phase1_00006","Em Hà day. Goi lai vao so 0978123456 em co viec gap.","Em Hà đây. Gọi lại vào số 0978123456 em có việc gấp."
"sms_norm_00007","phase1_00007","[VIENDONG] MA otp dang nhap cua ban la 7GJ9VI .Vui long khong chia se cho nguoi khac. - viendongjsc.vn","[VIENDONG] Mã OTP đăng nhập của bạn là 7GJ9VI. Vui lòng không chia sẻ cho người khác. - viendongjsc.vn"
"sms_norm_00008","phase1_00008","[CANH BAO] Ai do dang co truy cap tai khoan VPBank Online cua quy khach tren thiet bi/trinh duyet la. Neu khong phai QK, DOI MAT KHAU de tranh bi MAT TIEN. Neu la QK, nhap ma bao mat 534367 de tiep tuc. KHONG chia se ma nay cho bat ky ai BAO GOM NGAN HANG hay website gia mao de tranh rui ro MAT TIEN. LH 1900545415","[Cảnh báo] Ai đó đang có truy cập tài khoản VPBank Online của quý khách trên thiết bị/trình duyệt lạ. Nếu không phải quý khách, đổi mật khẩu để tránh bị mất tiền. Nếu là quý khách, nhập mã bảo mật 534367 để tiếp tục. Không chia sẻ mã này cho bất kỳ ai, bao gồm ngân hàng hay website giả mạo để tránh rủi ro mất tiền. Liên hệ 1900545415"
"sms_norm_00009","phase1_00009","Vietcombank KHONG yeu cau cung cap TEN DANG NHAP, MAT KHAU, OTP qua cac duong link gui qua SMS. Quy khach hay canh giac va TUYET DOI KHONG cung cap thong tin.","Vietcombank KHÔNG yêu cầu cung cấp tên đăng nhập, mật khẩu, OTP qua các đường link gửi qua SMS. Quý khách hãy cảnh giác và TUYỆT ĐỐI KHÔNG cung cấp thông tin."
"sms_norm_00010","phase1_00010","Xin Quý khách hãy lưu ý, Vietcombank KHÔNG gửi tin nhắn SMS đi kèm các đường link đăng nhập dịch vụ VCB Digibank. Các tin nhắn có đường link đăng nhập dịch vụ ĐỀU LÀ GIẢ MẠO. Quý khách tuyệt đối KHÔNG BẤM vào đường link nếu nhận được tin nhắn có nội dung nêu trên. Vui lòng tham khảo thêm thông tin tại đây: bit.ly/smsmaodanh","Xin Quý khách hãy lưu ý, Vietcombank KHÔNG gửi tin nhắn SMS đi kèm các đường link đăng nhập dịch vụ VCB Digibank. Các tin nhắn có đường link đăng nhập dịch vụ ĐỀU LÀ GIẢ MẠO. Quý khách tuyệt đối KHÔNG BẤM vào đường link nếu nhận được tin nhắn có nội dung nêu trên. Vui lòng tham khảo thêm thông tin tại đây: bit.ly/smsmaodanh"
