row_index,level,category,boundary_flag,leet_token_count,leet_token_ratio,sensitive_token_count,leet_sensitive_token_count,sensitive_leet_coverage,nonsensitive_leet_token_count,nonsensitive_leet_ratio,separator_token_count,mid_upper_count,symbol_ratio,content
3305,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),BHXH / Trợ cấp,,4,0.18181818181818182,5,2,0.4,2,0.09090909090909091,0,0,0.05813953488372093,Hoan thue TNCN: Ban da du dieu k1en nh4n t1en hoan thue. Bam vao www.mnbvc.icu. QUA HAN SE KHONG DUOC CHAP NHAN! vF5s
3329,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),BHXH / Trợ cấp,,4,0.18181818181818182,5,2,0.4,2,0.09090909090909091,0,0,0.05813953488372093,Hoan thue TNCN: Ban da du dieu k1en nh4n t1en hoan thue. Bam vao www.olpki.icu. QUA HAN SE KHONG DUOC CHAP NHAN! rE3w
3313,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),BHXH / Trợ cấp,,4,0.16,5,2,0.4,2,0.08,0,0,0.07777777777777778,BHXH VN: ong (BA) da du dieu k1en nh4n t1en ho tro tu quy BHTN. Bam vao www.poiuy.icu. QUA HAN SE KHONG DUOC CHAP NHAN! kI9o
3081,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),BHXH / Trợ cấp,,3,0.125,5,2,0.4,1,0.041666666666666664,0,0,0.07954545454545454,BHXH: ong (Ba) da du dieu kien NH4N T1EN ho tro tu quy BHTN. Bam vao www.okmiu.icu. QUA HAN SE KHONG DUOC CHAP NHAN! lJ1k
4541,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),BHXH / Trợ cấp,,3,0.1111111111111111,4,1,0.25,2,0.07407407407407407,1,0,0.08333333333333333,BHXH V1et N4m: ong (BA) da du dieu kien NHAN T1EN ho tro tu quy BH-TN. Bam vao www.awqsz.icu. QUA HAN SE KHONG DUOC CHAP NHAN! fT6g
4535,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),BHXH / Trợ cấp,,2,0.08,4,1,0.25,1,0.04,2,0,0.11702127659574468,[T.B] BHXH: ong (BA) da du dieu kien NHAN T1EN ho tro tu quy BH-TN. Bam vao www.mjnhy.icu. QUA HAN SE KHONG DUOC CHAP NHAN! bN5m
1682,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),BHXH / Trợ cấp,,2,0.07142857142857142,6,1,0.16666666666666666,1,0.03571428571428571,0,0,0.0784313725490196,BHXH Viet Nam: Ong (Ba) da du dieu kien NHAN T1EN ho tro tu quy BHTN. Bam vao www.vpxnq.icu de nhan. QUA HAN SE KHONG DUOC CHAP NHAN! kL8m
4975,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),BHXH / Trợ cấp,,1,0.037037037037037035,6,1,0.16666666666666666,0,0.0,0,0,0.09,BHXH Viet Nam: Ong (Ba) da du dieu kien NHAN T1EN ho tro tu quy BHTN. Nhan tai: mo.bhxhn.com. QUA HAN SE KHONG DUOC CHAP NHAN. zS2x
3045,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),BHXH / Trợ cấp,,0,0.0,5,0,0.0,0,0.0,0,0,0.07777777777777778,Hoan thue TNCN: Ong (Ba) da du dieu kien nhan tien hoan thue. Bam vao www.plmko.icu. QUA HAN SE KHONG DUOC CHAP NHAN. jH2g
4044,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),Dịch vụ công giả,,6,0.3333333333333333,4,2,0.5,4,0.2222222222222222,0,0,0.07692307692307693,Bo C0ng 4n: X4c thuc tai khoan dinh danh bi l01. Vu1 l0ng bam vao https://vneid-vca.cc de dong Bo.
