row_index,category,level,leet_token_ratio_before,leet_token_ratio_after,content_before,content_after
0,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.68,0.32,[TB] BHXH: B4n da zu d!eu k!en nh4n t1en h0 tr0 tu wy BHTN nq-116. B4m v4o www.zkxpw.icu. QU4 H4N KH0NG ZU0C CH4P NH4N! ,[Thông báo] Bảo hiểm xã hội: Bạn đã đủ điều kiện nhận tiền hỗ trợ từ quỹ Bảo hiểm thất nghiệp Nghị quyết 116. Bấm vào www.zkxpw.icu. QUÁ HẠN KHÔNG ĐƯỢC CHẤP NHẬN!
1,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.6,0.28,Ong (Ba) da zu d!eu k1en NH4N T1EN ho tro tu wy BHTN. B4m v4o www.qpwnm.icu de l4y. QU4 H4N KH0NG ZU0C CH4P NH4N. ,Ông (Bà) đã đủ điều kiện NHẬN TIỀN hỗ trợ từ quỹ Bảo hiểm thất nghiệp. Bấm vào www.qpwnm.icu để lấy. QUÁ HẠN KHÔNG ĐƯỢC CHẤP NHẬN.
2,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.7083,0.3333,Quy BH-TN: B4n da zu d!eu k1en nh4n t1en h0 tr0 theo NQ-116. B4m v4o www.lkytr.icu. QU4 H4N KH0NG ZU0C CH4P NH4N. ,Quỹ Bảo hiểm thất nghiệp: Bạn đã đủ điều kiện nhận tiền hỗ trợ theo Nghị quyết 116. Bấm vào www.lkytr.icu. QUÁ HẠN KHÔNG ĐƯỢC CHẤP NHẬN.
3,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.6364,0.2727,[BHXH] Quyet zinh BHXH: Ong(Ba) da zu d!eu k1en nh4n t1en. B4m v4o www.vnbgt.icu. QU4 H4N KH0NG ZU0C CH4P NH4N. ,[Bảo hiểm xã hội] Quyết định Bảo hiểm xã hội: Ông (Bà) đã đủ điều kiện nhận tiền. Bấm vào www.vnbgt.icu. QUÁ HẠN KHÔNG ĐƯỢC CHẤP NHẬN.
4,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.8095,0.381,BHXH_VN: B4n da zu d!eu k1en nh4n t1en h0 tr0 BHTN. B4m v4o www.mkhgf.icu. QU4 H4N KH0NG ZU0C CH4P NH4N. ,Bảo hiểm xã hội Việt Nam: Bạn đã đủ điều kiện nhận tiền hỗ trợ Bảo hiểm thất nghiệp. Bấm vào www.mkhgf.icu. QUÁ HẠN KHÔNG ĐƯỢC CHẤP NHẬN.
5,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.7391,0.3478,[T.B] BHXH: B4n da zu d!eu k1en nh4n t1en h0 tr0 tu wy BHTN. B4m v4o www.cxzsq.icu. QU4 H4N KH0NG ZU0C CH4P NH4N! ,[Thông báo] Bảo hiểm xã hội: Bạn đã đủ điều kiện nhận tiền hỗ trợ từ quỹ Bảo hiểm thất nghiệp. Bấm vào www.cxzsq.icu. QUÁ HẠN KHÔNG ĐƯỢC CHẤP NHẬN!
6,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.6667,0.3333,NQ-116: Ong (Ba) da zu d!eu k1en nh4n t1en h0 tr0 tu wy BHTN. B4m v4o www.plmok.icu. QU4 H4N KH0NG ZU0C CH4P NH4N. ,Nghị quyết 116: Ông (Bà) đã đủ điều kiện nhận tiền hỗ trợ từ quỹ Bảo hiểm thất nghiệp. Bấm vào www.plmok.icu. QUÁ HẠN KHÔNG ĐƯỢC CHẤP NHẬN.
7,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.6087,0.2174,BHXH: B4n da zu d!eu k1en nh4n t1en ho tro tu wy BHTN. B4m v4o www.yhnju.icu. QU4 H4N KH0NG ZU0C CH4P NH4N! ,Bảo hiểm xã hội: Bạn đã đủ điều kiện nhận tiền hỗ trợ từ quỹ Bảo hiểm thất nghiệp. Bấm vào www.yhnju.icu. QUÁ HẠN KHÔNG ĐƯỢC CHẤP NHẬN!
8,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.7143,0.2857,Quyet zinh BHXH: B4n da zu d!eu k1en nh4n t1en BHTN. B4m v4o www.rfvbg.icu. QU4 H4N KH0NG ZU0C CH4P NH4N. ,Quyết định Bảo hiểm xã hội: Bạn đã đủ điều kiện nhận tiền Bảo hiểm thất nghiệp. Bấm vào www.rfvbg.icu. QUÁ HẠN KHÔNG ĐƯỢC CHẤP NHẬN.
9,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.7391,0.3478,[TB] BHXH: B4n da zu d!eu k1en nh4n t1en h0 tr0 wy BHTN. B4m v4o www.tgbnh.icu. QU4 H4N KH0NG ZU0C CH4P NH4N. ,[Thông báo] Bảo hiểm xã hội: Bạn đã đủ điều kiện nhận tiền hỗ trợ quỹ Bảo hiểm thất nghiệp. Bấm vào www.tgbnh.icu. QUÁ HẠN KHÔNG ĐƯỢC CHẤP NHẬN.
10,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.6667,0.375,BHXH: Ong (Ba) da zu d!eu k1en nh4n t1en h0 tr0 wy BHTN. Nh4n t41: mo.zxcvb.com. QU4 H4N KH0NG ZU0C CH4P NH4N. ,Bảo hiểm xã hội: Ông (Bà) đã đủ điều kiện nhận tiền hỗ trợ quỹ Bảo hiểm thất nghiệp. Nhận tại: mo.zxcvb.com. QUÁ HẠN KHÔNG ĐƯỢC CHẤP NHẬN.
11,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.7391,0.3913,[TB] BHXH: B4n da zu d!eu k1en nh4n t1en h0 tr0 BHTN. Nh4n t41: mo.asdfg.com. QU4 H4N KH0NG ZU0C CH4P NH4N. ,[Thông báo] Bảo hiểm xã hội: Bạn đã đủ điều kiện nhận tiền hỗ trợ Bảo hiểm thất nghiệp. Nhận tại: mo.asdfg.com. QUÁ HẠN KHÔNG ĐƯỢC CHẤP NHẬN.
12,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.6667,0.2857,Quyet zinh BHXH: B4n da zu d!eu k1en nh4n t1en. Nh4n t41: mo.qwerty.com. QU4 H4N KH0NG ZU0C CH4P NH4N. ,Quyết định Bảo hiểm xã hội: Bạn đã đủ điều kiện nhận tiền. Nhận tại: mo.qwerty.com. QUÁ HẠN KHÔNG ĐƯỢC CHẤP NHẬN.
13,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.7143,0.3333,Theo NQ-116: B4n da zu d!eu k1en nh4n t1en BHTN. Nh4n t41: mo.mnbvc.com. QU4 H4N KH0NG ZU0C CH4P NH4N. ,Theo Nghị quyết 116: Bạn đã đủ điều kiện nhận tiền Bảo hiểm thất nghiệp. Nhận tại: mo.mnbvc.com. QUÁ HẠN KHÔNG ĐƯỢC CHẤP NHẬN.
14,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0.6818,0.3636,[T.B] BHXH: Ong (Ba) da zu d!eu k1en nh4n t1en h0 tr0. Nh4n t41: mo.poiuy.com. QU4 H4N KH0NG ZU0C CH4P NH4N. ,[Thông báo] Bảo hiểm xã hội: Ông (Bà) đã đủ điều kiện nhận tiền hỗ trợ. Nhận tại: mo.poiuy.com. QUÁ HẠN KHÔNG ĐƯỢC CHẤP NHẬN.
