content,category,level,has_url,has_phone_number,sender_type,digit_ratio,symbol_ratio,leet_char_ratio,dot_dash_inside_token_count,random_suffix_flag,name_hint_count,skeleton
Quyet_dinh_BHXH: Ong(Ba) da_du-d!eu_k!en nhan_t1en tu quy-BHTN. Bam-vao www.olpki.icu. QUA-HAN*SE_KH0NG*DUOC*CHAP-NHAN! fD2s,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.02608695652173913,0.20869565217391303,0.043478260869565216,6.0,1.0,2.0,quyet dinh bhxh ong ba da du d eu k en nhan t< >en tu quy bhtn bam vao < >< > qua han se kh< >ng duoc chap nhan < >
[T.B] BHXH: Ong (Ba) da du d!eu k!en nhan t1en ho tro tu BHTN. Bam vao www.poiuyt.icu. QUA HAN SE KH0NG DUOC CHAP NHAN! bN6m,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.03,0.13,0.05,2.0,1.0,2.0,t b bhxh ong ba da du d eu k en nhan t< >en ho tro tu bhtn bam vao < >< > qua han se kh< >ng duoc chap nhan < >
BHXH-Viet-Nam: Ong~Ba da_du d!eu*k!en nhan-tien Quyet-dinh-BHXH. Bam-vao www.qazws.icu. QUA-HAN_SE_KH0NG_DUOC_CHAP_NHAN! yU5n,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.017241379310344827,0.19827586206896552,0.05172413793103448,6.0,1.0,2.0,bhxh viet nam ong ba da du d eu k en nhan tien quyet dinh bhxh bam vao < >< > qua han se kh< >ng duoc chap nhan < >
Quyet-dinh_BHXH: Ong(Ba)_da^du_D!EU-K!EN*nhan-t1en_tu-BHTN. Bam-vao: www.olpzx.icu. QUA-HAN_SE_KH0NG_DUOC_CHAP_NHAN! aS2d,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.02586206896551724,0.2413793103448276,0.05172413793103448,6.0,1.0,2.0,quyet dinh bhxh ong ba da du d eu k en nhan t< >en tu bhtn bam vao < >< > qua han se kh< >ng duoc chap nhan < >
Bo-LD-TB-XH: Ong/Ba_da~du*D!EU-K!EN_nhan-t1en_tu_BHXH_VN. Bam-vao: mo.plmko.com. QUA-HAN_SE_KH0NG_DUOC_CHAP_NHAN! mJ5n,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.02654867256637168,0.25663716814159293,0.05309734513274336,6.0,1.0,1.0,bo ld tb xh ong ba da du d eu k en nhan t< >en tu bhxh vn bam vao mo < > qua han se kh< >ng duoc chap nhan < >
B0_LĐ-TB-XH: Ong-Ba_da-du_d!eu-k!en-NHAN_T1EN-ho_tro. Bam_vao_www.cdew2.icu. QUA-HAN_SE_KH0NG^DUOC-CHAP_NHAN! aS2d,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.045454545454545456,0.2545454545454545,0.05454545454545454,7.0,1.0,1.0,b< > l tb xh ong ba da du d eu k en nhan t< >en ho tro bam vao www < > qua han se kh< >ng duoc chap nhan < >
B0_LĐ-TB-XH: Ong-Ba_da-du_d!eu_k!en-NHAN-T1EN_ho_tro. Bam_vao_mo.mnbvc.com_ngay. QUA-HAN_SE-KH0NG^DUOC_CHAP-NHAN! sD4f,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,0,0,personal_number,0.03508771929824561,0.2543859649122807,0.06140350877192982,6.0,1.0,1.0,b< > l tb xh ong ba da du d eu k en nhan t< >en ho tro bam vao mo mnbvc com ngay qua han se kh< >ng duoc chap nhan < >
Tro-cap_NQ-116: Ong(Ba)_da-du_D!EU*K!EN_nhan-T1EN_h0-tro. Bam-vao: www.bgtvf.icu. QUA-HAN_SE_KH0NG_DUOC_CHAP_NHAN! vB6n,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.06140350877192982,0.2543859649122807,0.07017543859649122,6.0,1.0,2.0,tro cap nq < > ong ba da du d eu k en nhan t< >en h< > tro bam vao < >< > qua han se kh< >ng duoc chap nhan < >
B0_LĐ-TB-XH: Ong-Ba_da-du_d!eu-k!en-NHAN_T1EN-ho_tro. Bam_vao_www.frt54.icu. QUA-HAN_SE_KH0NG^DUOC-CHAP_NHAN! vB0n,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.05454545454545454,0.2545454545454545,0.08181818181818182,7.0,1.0,1.0,b< > l tb xh ong ba da du d eu k en nhan t< >en ho tro bam vao www < > qua han se kh< >ng duoc chap nhan < >
Quyet_dinh_BHXH: B4n_da-du_d!eu_k!en_NHAN_T1EN!tu_quy~BHTN. Nhan_t41_mo.dfghj.com. QUA_HAN_SE_KH0NG_DUOC_CHAP_NHAN! pO0l,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng,1,0,personal_number,0.05172413793103448,0.23275862068965517,0.08620689655172414,2.0,1.0,0.0,quyet dinh bhxh b< >n da du d eu k en nhan t< >en tu quy bhtn nhan t< > mo < > qua han se kh< >ng duoc chap nhan < >
