dataset,metric,value
phase1,js_divergence_category,0.5791787437062584
phase1,js_divergence_sender_type,0.05206649089963722
phase1,js_divergence_has_url,0.00024934391192217846
phase1,js_divergence_has_phone_number,0.0011397853439239697
phase1,js_divergence_obfuscation_level,0.3506759847195621
current,js_divergence_category,0.14903271930763204
current,js_divergence_sender_type,0.02261135402167651
current,js_divergence_has_url,0.004607898193443239
current,js_divergence_has_phone_number,0.002527230763978946
current,js_divergence_obfuscation_level,0.0716983130238562
