dataset,slice,n,exact_masked_duplicate_rate,total,unique_ratio,repeated_mass,top_repeated_ngrams
phase1,all,5,0.10509373224768036,313606,0.4746847955715133,0.6385687773830858,"[[""num num num num num"", 458], [""nhắn tin trong num ngày"", 299], [""sử dụng gọi nhắn tin"", 288], [""gọi nhắn tin trong num"", 283], [""dụng gọi nhắn tin trong"", 280], [""zalo me phone zalo phone"", 270], [""nh num n t num"", 269], [""đã đủ điều kiện nhận"", 263], [""đủ điều kiện nhận tiền"", 252], [""url cskh num num đ"", 240], [""zalo zalo me phone zalo"", 236], [""num vnd luc num num"", 233], [""được sử dụng gọi nhắn"", 233], [""khuyến mại được sử dụng"", 230], [""qua han se khong duoc"", 230], [""han se khong duoc chap"", 230], [""se khong duoc chap nhan"", 230], [""mại được sử dụng gọi"", 229], [""quá hạn sẽ không được"", 229], [""num num vnd luc num"", 228]]"
phase1,all,6,0.10509373224768036,303061,0.5356182418720984,0.5755804936959886,"[[""gọi nhắn tin trong num ngày"", 283], [""sử dụng gọi nhắn tin trong"", 280], [""dụng gọi nhắn tin trong num"", 280], [""đã đủ điều kiện nhận tiền"", 248], [""zalo zalo me phone zalo phone"", 236], [""được sử dụng gọi nhắn tin"", 233], [""qua han se khong duoc chap"", 230], [""han se khong duoc chap nhan"", 230], [""khuyến mại được sử dụng gọi"", 229], [""mại được sử dụng gọi nhắn"", 229], [""num num vnd luc num num"", 228], [""tại url cskh num num đ"", 221], [""url quá hạn sẽ không được"", 216], [""quá hạn sẽ không được chấp"", 215], [""hạn sẽ không được chấp nhận"", 215], [""url qua han se khong duoc"", 205], [""bam vao url qua han se"", 198], [""co hieu luc trong num phut"", 196], [""num num so du num num"", 178], [""num num num num num num"", 164]]"
phase1,label_1_all,5,0.016405951926745516,147441,0.521001620987378,0.591551874987283,"[[""zalo me phone zalo phone"", 270], [""nh num n t num"", 269], [""đã đủ điều kiện nhận"", 262], [""đủ điều kiện nhận tiền"", 252], [""zalo zalo me phone zalo"", 236], [""qua han se khong duoc"", 230], [""han se khong duoc chap"", 230], [""se khong duoc chap nhan"", 230], [""quá hạn sẽ không được"", 229], [""sẽ không được chấp nhận"", 216], [""url quá hạn sẽ không"", 216], [""hạn sẽ không được chấp"", 215], [""bam vao url qua han"", 206], [""url qua han se khong"", 206], [""vao url qua han se"", 198], [""nhân viên xử lý đơn"", 172], [""bạn đã đủ điều kiện"", 157], [""num zalo zalo me phone"", 150], [""num n t num en"", 147], [""num num zalo zalo me"", 145]]"
phase1,label_1_all,6,0.016405951926745516,142199,0.5947369531431304,0.5138151463793698,"[[""đã đủ điều kiện nhận tiền"", 248], [""zalo zalo me phone zalo phone"", 236], [""qua han se khong duoc chap"", 230], [""han se khong duoc chap nhan"", 230], [""url quá hạn sẽ không được"", 216], [""quá hạn sẽ không được chấp"", 215], [""hạn sẽ không được chấp nhận"", 215], [""url qua han se khong duoc"", 205], [""bam vao url qua han se"", 198], [""vao url qua han se khong"", 156], [""bạn đã đủ điều kiện nhận"", 154], [""num num zalo zalo me phone"", 145], [""nh num n t num en"", 141], [""đủ điều kiện nhận tiền hỗ"", 139], [""điều kiện nhận tiền hỗ trợ"", 139], [""tuyển nhân viên xử lý đơn"", 138], [""e l e g r a"", 131], [""l e g r a m"", 124], [""t e l e g r"", 122], [""bấm vào url quá hạn sẽ"", 121]]"
phase1,label_1_synthetic_like,5,0.01200960768614892,137981,0.5104036062936201,0.6008363470332871,"[[""nh num n t num"", 269], [""zalo me phone zalo phone"", 266], [""đã đủ điều kiện nhận"", 262], [""đủ điều kiện nhận tiền"", 252], [""zalo zalo me phone zalo"", 235], [""quá hạn sẽ không được"", 229], [""qua han se khong duoc"", 227], [""han se khong duoc chap"", 227], [""se khong duoc chap nhan"", 227], [""url quá hạn sẽ không"", 216], [""hạn sẽ không được chấp"", 215], [""sẽ không được chấp nhận"", 215], [""bam vao url qua han"", 206], [""url qua han se khong"", 206], [""vao url qua han se"", 198], [""nhân viên xử lý đơn"", 172], [""bạn đã đủ điều kiện"", 156], [""num zalo zalo me phone"", 150], [""num n t num en"", 147], [""num num zalo zalo me"", 145]]"
phase1,label_1_synthetic_like,6,0.01200960768614892,132985,0.5868857389931196,0.5201564086175132,"[[""đã đủ điều kiện nhận tiền"", 248], [""zalo zalo me phone zalo phone"", 235], [""qua han se khong duoc chap"", 227], [""han se khong duoc chap nhan"", 227], [""url quá hạn sẽ không được"", 216], [""quá hạn sẽ không được chấp"", 215], [""hạn sẽ không được chấp nhận"", 215], [""url qua han se khong duoc"", 205], [""bam vao url qua han se"", 198], [""vao url qua han se khong"", 156], [""bạn đã đủ điều kiện nhận"", 154], [""num num zalo zalo me phone"", 145], [""nh num n t num en"", 141], [""đủ điều kiện nhận tiền hỗ"", 139], [""điều kiện nhận tiền hỗ trợ"", 139], [""tuyển nhân viên xử lý đơn"", 138], [""e l e g r a"", 131], [""l e g r a m"", 124], [""t e l e g r"", 122], [""bấm vào url quá hạn sẽ"", 121]]"
phase1,label_1_real,5,0.10569105691056911,9460,0.7217758985200846,0.41553911205073996,"[[""tai khoan cua ban dang"", 13], [""neu khong phai ban dang"", 12], [""dang nhap url de xac"", 11], [""phat hien tai khoan cua"", 11], [""hien tai khoan cua ban"", 11], [""num num num num num"", 10], [""tai khoan cua ban da"", 10], [""vui long vao url de"", 9], [""tran trong thong bao tai"", 8], [""thong bao tai khoan cua"", 8], [""bao tai khoan cua quy"", 8], [""tai khoan cua quy khach"", 8], [""cua quy khach hien tai"", 8], [""quy khach hien tai da"", 8], [""url de xac thuc ngay"", 8], [""de xac thuc ngay hom"", 8], [""nhap url de xac thuc"", 8], [""chung toi phat hien tai"", 8], [""toi phat hien tai khoan"", 8], [""khoan cua ban dang tieu"", 8]]"
phase1,label_1_real,6,0.10569105691056911,9214,0.73822444106794,0.3957021923160408,"[[""phat hien tai khoan cua ban"", 11], [""hien tai khoan cua ban dang"", 11], [""thong bao tai khoan cua quy"", 8], [""bao tai khoan cua quy khach"", 8], [""cua quy khach hien tai da"", 8], [""url de xac thuc ngay hom"", 8], [""dang nhap url de xac thuc"", 8], [""chung toi phat hien tai khoan"", 8], [""toi phat hien tai khoan cua"", 8], [""tai khoan cua ban dang tieu"", 8], [""khoan cua ban dang tieu dung"", 8], [""cua ban dang tieu dung o"", 8], [""ban dang tieu dung o nuoc"", 8], [""dang tieu dung o nuoc ngoai"", 8], [""tieu dung o nuoc ngoai neu"", 8], [""dung o nuoc ngoai neu khong"", 8], [""o nuoc ngoai neu khong phai"", 8], [""nuoc ngoai neu khong phai ban"", 8], [""ngoai neu khong phai ban dang"", 8], [""neu khong phai ban dang tieu"", 8]]"
phase1,label_0_synthetic_like,5,0.03167722574191397,61335,0.5874296894106138,0.5187902502649384,"[[""hieu luc trong num phut"", 180], [""num num num vnd luc"", 152], [""num num vnd luc num"", 152], [""num vnd luc num num"", 152], [""co hieu luc trong num"", 151], [""so du num num num"", 137], [""du num num num vnd"", 136], [""num num num num vnd"", 135], [""tk num num num num"", 134], [""khong chia se ma nay"", 132], [""num so du num num"", 121], [""ma co hieu luc trong"", 120], [""num num ngay num num"", 119], [""num num num vnd nd"", 118], [""tu num h num h"", 116], [""num num so du num"", 115], [""vnd luc num num so"", 112], [""luc num num so du"", 112], [""num tu num h num"", 109], [""num num tu num h"", 108]]"
phase1,label_0_synthetic_like,6,0.03167722574191397,58338,0.6642668586513079,0.43208543316534676,"[[""num num num vnd luc num"", 152], [""num num vnd luc num num"", 152], [""co hieu luc trong num phut"", 150], [""so du num num num vnd"", 136], [""num so du num num num"", 119], [""num num num num vnd luc"", 116], [""num num so du num num"", 115], [""ma co hieu luc trong num"", 114], [""num vnd luc num num so"", 112], [""vnd luc num num so du"", 112], [""luc num num so du num"", 112], [""num num tu num h num"", 108], [""num tu num h num h"", 108], [""giao thanh cong luc num num"", 107], [""num ma co hieu luc trong"", 103], [""da giao thanh cong luc num"", 102], [""luc num num ngay num num"", 102], [""tk num num num num vnd"", 102], [""la num ma co hieu luc"", 98], [""giao khong thanh cong lan num"", 93]]"
