dataset,slice,analyzer,mean,p90,p95,max
phase1,label_1_all,char,0.4968806744641656,0.7208807561008292,0.7865453600437781,0.9907957937011821
phase1,label_1_all,word,0.41682033760528053,0.7121001798807871,0.7812265216275843,1.0
phase1,label_1_synthetic_like,char,0.4961999568813873,0.7090259489200799,0.7622124726119754,0.989752762317986
phase1,label_1_synthetic_like,word,0.4130439248767368,0.6912187011974478,0.7535502382062874,0.9689091674640695
phase1,label_0_synthetic_like,char,0.5367986036520205,0.7048452502709142,0.7569030086794698,0.9660451249177723
phase1,label_0_synthetic_like,word,0.42513276057219346,0.6308802547301313,0.6936443507977725,0.9173901155294742
current,label_1_all,char,0.4229249215149597,0.7919714921968548,0.9001457556468959,0.9937812238293393
current,label_1_all,word,0.3711009456819051,0.8294583536957393,0.9064600082287023,1.0
current,label_1_synthetic_like,char,0.41917491543359886,0.7779656537940305,0.8896787152525114,0.9864012858949219
current,label_1_synthetic_like,word,0.3651929869585335,0.8182851306286872,0.8929190620162809,1.0
current,label_0_synthetic_like,char,0.518564835696656,0.6743752283942501,0.7416230626250445,0.9319000345057228
current,label_0_synthetic_like,word,0.4075955955220197,0.6075665120654331,0.6632359055631194,0.8715588072252772
