content,label,has_url,has_phone_number,sender_type,category
KFC: Combo Ga Ran 99k tang 1 Pepsi size L khi dat qua app KFC Vietnam. Ma: KFC99. Han dung 15/05/2026. Chi tiet tai kfc.com.vn. Tu choi QC: TC gui 8079.,0,1,0,brandname,Quảng cáo hợp lệ
Lotteria tang Quy khach voucher giam 30k cho don hang tu 150k. Ap dung tai cua hang den het ngay 20/06/2026. Dat ngay tai lotteria.vn.,0,1,0,shortcode,Quảng cáo hợp lệ
Highland Coffee: Mua 2 tinh 1 cho dong Tra va Freeze vao khung gio 14h-18h hang ngay. Han dung 30/04/2026. Xem menu tai highlandscoffee.com.vn.,0,1,0,brandname,Quảng cáo hợp lệ
The Coffee House gui tang Quy khach ma TCH20 giam 20% tong hoa don. Ap dung cho don tu 100k tai App den 10/05/2026. Lien he 18006936.,0,0,1,shortcode,Quảng cáo hợp lệ
McDonald's: Mua 1 Burger tang 1 phan Khoai tay chien size M. Ap dung duy nhat vao Thu Ba hang tuan den 30/06/2026. Website: mcdonalds.vn.,0,1,0,brandname,Quảng cáo hợp lệ
"Jollibee chuc mung sinh nhat thang 5, tang combo Ga Gion 149k giam con 99k. Ma: JOLIB5. Han dung 31/05/2026. Truy cap jollibee.com.vn.",0,1,0,shortcode,Quảng cáo hợp lệ
KFC: Giam ngay 50.000d cho don hang tu 200.000d khi thanh toan qua the Visa. Thoi gian tu 01/05 den 31/05/2026. Chi tiet: kfc.com.vn.,0,1,0,brandname,Quảng cáo hợp lệ
The Coffee House: Thuong thuc ly CloudTea moi voi uu dai Mua 1 Tang 1. Ap dung tai cua hang den het ngay 15/05/2026. Hotline 18006936.,0,0,1,brandname,Quảng cáo hợp lệ
Highland Coffee: Nhan voucher 20k khi thanh toan bang MoMo cho hoa don tu 100k. Han dung 25/05/2026. Truy cap highlandscoffee.com.vn.,0,1,0,shortcode,Quảng cáo hợp lệ
Lotteria: Combo Family giam chi con 259k (gia goc 350k). Ap dung cho nhom 4 nguoi tai cua hang den 30/05/2026. Soan TC gui 9999.,0,0,0,brandname,Quảng cáo hợp lệ
McDonald's: Uu dai 15% cho khach hang thanh vien khi dat lich qua app McDonald's. Han dung 31/07/2026. Lien he hotline 19009001.,0,0,1,shortcode,Quảng cáo hợp lệ
Jollibee: Mua 1 mi y tang 1 kem que. Ap dung tai tat ca chi nhanh tren toan quoc vao cac ngay trong tuan den 20/05/2026.,0,0,0,brandname,Quảng cáo hợp lệ
MoMo tang Quy khach goi qua 500.000d khi gioi thieu ban be tai khoan moi thanh cong. Thoi han chuong trinh den 31/12/2026. Xem tai momo.vn.,0,1,0,brandname,Quảng cáo hợp lệ
Grab: Nhap ma GRABFOOD giam ngay 25k cho don hang tu 100k. Uu dai ap dung den het ngay 15/05/2026. Dat ngay tai ung dung Grab.,0,0,0,shortcode,Quảng cáo hợp lệ
ZaloPay tang voucher cashback 10% khi nap tien dien thoai qua vi. Toi da 20.000d. Thoi han den ngay 25/05/2026. Truy cap zalopay.vn.,0,1,0,brandname,Quảng cáo hợp lệ
ShopeePay: Giam ngay 50k cho hoa don thanh toan dien nuoc dau tien tren Shopee. Ap dung den 31/05/2026. Chi tiet tai shopeepay.vn.,0,1,0,shortcode,Quảng cáo hợp lệ
Grab: Uu dai GrabCar giam 20% (toi da 30k) cho moi chuyen di vao khung gio cao diem. Han dung den 20/05/2026. Mo app dat xe ngay.,0,0,0,brandname,Quảng cáo hợp lệ
MoMo: Hoan tien 5% khi thanh toan hoa don Internet tai Vi MoMo. Thoi gian ap dung tu nay den het 31/05/2026. Hotline ho tro 1900545441.,0,0,1,shortcode,Quảng cáo hợp lệ
ZaloPay: Nhap ma BANMOI nhan ngay combo voucher 1tr dong cho khach hang moi lien ket ngan hang. Han den 30/06/2026. Zalopay.vn.,0,1,0,brandname,Quảng cáo hợp lệ
ShopeePay tang ma SPP15 giam 15k cho don hang Shopee tu 150k. Ap dung den ngay 15/05/2026. Dung ngay tai shopee.vn.,0,1,0,shortcode,Quảng cáo hợp lệ
