sample_id,content,label,has_url,has_phone_number,sender_type,category,obfuscation_level,data_origin,source_dataset,source_file,source_row_id
phase1_08523,[SACOMBANK] Tài khoản đã bị dừng tạm thời. Vào sacombank.vn-yu.top để kích hoạt lại trước 24h.,1,1,0,brandname,Giả mạo ngân hàng,NONE,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,2959
phase1_08624,Trợ cấp NQ-116: Bạn đã đủ ĐIỀU KIỆN nhận TIỀN theo Quyết định BHXH. Nhận tại: mo.plmko.com. QUÁ HẠN SẼ KHÔNG ĐƯỢC NHẬN! mN5b,1,1,0,personal_number,BHXH / Trợ cấp,NONE,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,3060
phase1_08396,G-a-i x-i-n-h d-o-i b-a-n t-r-a-i t-a-i H-C-M. HCM – Zalo: https://zalo.me/g/hcm_g_987 aS3d,1,1,0,personal_number,Nội dung nhạy cảm,LEVEL 3 – Dot/dash insertion,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,2832
phase1_10399,"Ch4o ban, m1nh la Phuong. M1nh dang tuy3n c0ng t4c v13n cho s4n XYZ. D4u tu thong m1nh lai c4o. Nh4n t1n m1nh.",1,0,0,personal_number,Crypto / Đầu tư giả,NONE,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,4836
phase1_10197,Kw!n668_t4i-4pp-nh4n-68k-mien-fhi. x3_n4p-d4u. Link: k66.cc/qR2wS,1,1,0,personal_number,Cờ bạc / Betting,LEVEL 2 – Leet nặng + tên riêng,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,4634
phase1_06170,"H,C,M:T,e;l;e;g,r;a,m-E;m:X;j,n;h:ä;h:c;0:m;u;0,n:g;a;p:k;0-t.me/hcm_meet_M2a",1,1,0,personal_number,Nội dung nhạy cảm,LEVEL 4 – Mixed special chars,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,606
phase1_06079,CẢNH BÁO LẦN CUỐI!!! Ông/Bà phải chịu trách nhiệm hình sự về hành vi lạm dụng tín nhiệm. Phòng AN NINH ĐIỀU TRA sẽ cử tổ công tác về tại địa phương điều tra nếu không liên hệ trước 17 giờ hôm nay. Liên hệ: 842839123456.,1,0,1,personal_number,Dịch vụ công giả,NONE,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,515
phase1_06975,[VIETCOMBANK] Tài khoản bị tạm khóa do không xác thực. VÀO vietcombank.vn-kd.top để mở lại ngay.,1,1,0,brandname,Giả mạo ngân hàng,NONE,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,1411
phase1_07849,Bộ Y tế: Thông báo kiểm tra sức khỏe định kỳ và cập nhật hồ sơ. Liên hệ: 0933445566 để được hướng dẫn,1,0,1,shortcode,Dịch vụ công giả,NONE,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,2285
phase1_10063,"H1 ban, m1nh la Th40. CO v13c th4 t1m v1z30 lwonj c4o. Nh4n vao nzh0m de duoc hwonj d4n: t.me/vieclam_hot_2024",1,1,0,personal_number,Crypto / Đầu tư giả,NONE,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,4500
phase1_07004,[SHB DIGIBANK] Cảnh báo! Tài khoản bị lộ thông tin. Vào shbdigibank.vn-lk.top để đổi mã PIN.,1,1,0,shortcode,Giả mạo ngân hàng,NONE,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,1440
phase1_08722,Tổng cục Thuế: Thông báo hoàn thuế TNCN năm 2024. Bấm vào https://thue-vn.top để nhận tiền.,1,1,0,shortcode,Dịch vụ công giả,NONE,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,3158
phase1_09805,"B@n m-u-o-n k!3m t-h-e-m t-h-u n-h-@-p k-h-0-n-g? Th@ t!m T!kt0k n-h-e, m0! n-g@y ch! c4n 10 f-ut l@ c0 150k n-h-e.",1,0,0,personal_number,Crypto / Đầu tư giả,LEVEL 4 – Mixed special chars,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,4242
phase1_08859,"Anh chuyển vốn vào STK: 3344556677, NH OCB, CT TNHH ĐẦU TƯ AN PHÚC để được hướng dẫn trade.",1,0,0,personal_number,Crypto / Đầu tư giả,NONE,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,3296
phase1_07202,Đ_N-T_e_l_e_g_r_a_m: K_e_n_h-g_a_i-x_i_n_h-D_a-N_a_n_g-u_y-t_i_n. X_e_m-a_n_h-t_a_i: https://t.me/dn_girl_uy_tin pL2k,1,1,0,personal_number,Nội dung nhạy cảm,LEVEL 3 – Dot/dash insertion,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,1638
phase1_07189,H;N-T;e;l;e;g;r;a;m: G;@;i-c;a;o-c;a;p-H;N-m;o;i-v;e-t;u-S;G. X;e'm-a'n;h: https://t.me/hn_vip_girls_new cX3d,1,1,0,personal_number,Nội dung nhạy cảm,LEVEL 5 – Extreme noise,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,1625
phase1_10501,G141-tr1-2Q-t@i-@pp_nh@n-199k_x3-n@p-d@u-rut-ng@y_TLMN_X.oc_D.ia_N.ohu_L1nk: k52mp.tech,1,1,0,personal_number,Cờ bạc / Betting,LEVEL 4 – Mixed special chars,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,4938
phase1_06240,THÔNG BÁO KHẨN: Anh Huỳnh Văn Bảo Căn cước công dân 031093448572 nợ 28.554.336 VNĐ. Trước 17 giờ hôm nay phải thanh toán tối thiểu 3.725.000 VNĐ nếu không sẽ thông báo người thân gia đình nơi làm việc. Liên hệ: 0377556677.,1,0,1,personal_number,Đòi nợ / Đe dọa,NONE,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,676
phase1_09486,"Ch40 ban, m1nh la f-uong h0 tr0 d4t d0n hang kiem h03 h0ng. L1nk nh0m T3l3gr4m: t.me/shopee_nhiemvu_2024",1,1,0,personal_number,Crypto / Đầu tư giả,NONE,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,3923
phase1_07048,[MSB] Thông báo: Tài khoản của bạn sẽ bị tạm dừng dịch vụ vào lúc 22h. Truy cập msb.vn-tr.top để kích hoạt lại,1,1,0,brandname,Giả mạo ngân hàng,NONE,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,1484
phase1_05619,Bộ Lao động - Thương binh - Xã hội thông báo: Ông Bà đã đủ điều kiện nhận tiền Bảo hiểm thất nghiệp. Bấm vào www.mnbvc.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!,1,1,0,personal_number,BHXH / Trợ cấp,NONE,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,52
phase1_09572,T1k1 tuy3n nv d4t hang n4ng c40 thu hang. Thu nhap 800.000d/ng4y. L4m v13c tr3n z13n th041. Tu01 23-60. Z4l0: 84929000029,1,0,1,personal_number,Tuyển dụng giả,NONE,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,4009
phase1_08007,"Chỉ cần 10 phút mỗi ngày, giáo viên sẽ dẫn dắt bạn kiếm 1tr trên sàn XYZ. Không rủi ro thì rút tiền luôn.",1,0,0,personal_number,Crypto / Đầu tư giả,NONE,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,2443
phase1_09416,TB KHAN: Phòng AN NINH DIEU TRA thông báo O/B liên quan đến đường dây lừa đảo chiếm đoạt tài sản qua mạng. Yêu cầu phối hợp điều tra trước 17g hôm nay để tránh bị truy cứu trách nhiệm hình sự.,1,0,0,personal_number,Đòi nợ / Đe dọa,LEVEL 0 – Không obfuscation (formal),synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,3853
phase1_06884,Bộ Lao động - Thương binh và Xã hội: Ông (Bà) đã đủ điều kiện nhận tiền hỗ trợ từ quỹ Bảo hiểm thất nghiệp. Nhận tại: mo.vbcxz.com. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN! zX5c,1,1,0,personal_number,BHXH / Trợ cấp,NONE,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,1320
phase1_09001,Tro~cap*NQ-116: B4N_da-du_D!EU*K!EN nh4n_T1EN tu quy BHTN. Nhan tai: mo.zxcva.com. QUA-HAN SE KH0NG_DUOC CHAP_NHAN! pL8k,1,1,0,personal_number,BHXH / Trợ cấp,NONE,synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,3438
phase1_10132,"[SACOMBANK] Thong bao: Quy khach da dang ky dich vu QUANG CAO, phi 2.000.000VND/thang. Huy tai http://sacombank.cc neu khong muon mat phi.",1,1,0,brandname,Giả mạo ngân hàng,LEVEL 0 – Không obfuscation (formal),synthetic,synthetic_label_1,data/synthetic/synthetic_label_1.csv,4569
