content,label,decision_status
Cuc Thue: Nguyen Thi Xuan can bo sung giay to cho ho so cap phep kinh doanh so QD-2025/001. Han chot ngay mai. Goi hotline QD-2025/001 de duoc ho tro.,1,accepted_label_1
Dịch vụ Quản lý Danh tính Quốc gia: Tài khoản của bạn tạm ngưng hoạt động. Xác minh ngay tại: qldnq.gov.vn,1,accepted_label_1
[VPBank] Tài khoản ngưng hoạt động đột ngột. Truy cập vppay.vn-lc.com để xác thực ngay trong 24h tới.,1,accepted_label_1
Hỗ trợ NT-289: Quý khách vừa đủ TIÊU CHUẨN nhận TRỢ CẤP theo Quyết định BHXH. Nhận ngay tại: alink.biz. QUÁ HẠN SẼ KHÔNG ĐƯỢC NHẬN! 8XqL,1,accepted_label_1
[Instagram] Ma xac thuc cua ban la: 112093. Co hieu luc trong 5 phut.,0,accepted_label_0
Bạn gái xinh xắn chờ bạn ngay tại Sài Gòn. Sài Gòn – Line: @saigon_girl_123,0,accepted_label_0
"TPBank: He thong ghi nhan yeu cau rut 20,000,000 VND tu ATM luc 02:15. Neu QK khong thuc hien, goi 19001234 de huy ngay.",0,accepted_label_0
ACB: Ma xac thuc (OTP) cua Quy khach la 552910. KHONG chia se ma nay de bao mat tai khoan.,0,accepted_label_0
"Chào bạn, mình là Linh. Mình đang tìm kiếm đối tác kinh doanh cho ứng dụng ABC. Cơ hội đầu tư siêu lợi nhuận. Liên hệ mình ngay!",1,accepted_label_1
Kw!n889_t5i-4pp-nh4n-79k-mien-fhi. x3_n4p-d4u. Link: k889.cc/qT3wS,1,accepted_label_1
"Công ty TNHH TM XNK Toàn Cầu tuyển dụng nhân viên xử lý đơn hàng. Mức lương hấp dẫn 750.000đ/ngày. Độ tuổi từ 23-60. Thời gian làm việc linh hoạt, hoàn toàn có thể tại nhà. Liên hệ ngay: zalo.me/84987654321 Zalo: 0987654321",1,accepted_label_1
[GHN] Thong bao: Van don SHNR5544332 giao khong thanh cong lan 1. Lien he giao vien 0922334455 de hen lai.,0,accepted_label_0
"Mời bạn gia nhập **Shopee** tuyển dụng **nhân viên xử lý đơn hàng tại nhà**! Độ tuổi 18-55, thu nhập **1.5 triệu/ngày**. Liên hệ ngay: zalo.me/84901234567",1,accepted_label_1
VIB: Mã OTP 339102 dùng để xác thực thanh toán thẻ trực tuyến. Hiệu lực trong 3 phút. Hotline 18008180.,0,accepted_label_0
"Wintel: Ban da dang ky thanh cong goi WIN89. Uu dai mien phi data khong gioi han, 50 phut goi ngoai mang, mien phi goi Wintel & Vinaphone. Han dung den 15/07/2024.",0,accepted_label_0
"Tài khoản ngân hàng của bạn đang bị nghi ngờ vi phạm pháp luật. Để tránh bị phong tỏa toàn bộ số dư, hãy xác thực thông tin ngay trong vòng 12 giờ. Truy cập: https://xacthuc.nganhang24h.online",1,accepted_label_1
"Từ HCM đến Hà Nội, mình có thể giúp bạn tìm người thân yêu, bạn đời hay bạn bè mới thông qua dịch vụ bí mật, an toàn. Liên hệ ngay qua link sau: t.me/hn_meet_3z",1,accepted_label_1
"**THÔNG BÁO KHẨN CẤP:** Tài khoản cá nhân của Quý khách đã bị tạm ngưng sử dụng do nghi ngờ vi phạm quy định. Vui lòng xác minh danh tính ngay trong ngày hôm nay để tránh bị khởi tố theo luật pháp. Nếu không hoàn tất thủ tục trước 21:00, lực lượng CÔNG AN MẬT SÁT sẽ tiến hành xác minh tại địa phương. Xác minh ngay: 849012345678",1,accepted_label_1
[BIDV] Thông báo: Tài khoản ngưng hoạt động tạm thời vì chưa hoàn tất xác minh. Truy cập ngay bidv-nguyenmat.top để kích hoạt lại dịch vụ.,1,accepted_label_1
"**Công ty TNHH Thế Giới Mới** cần tuyển **cộng tác viên bán thời gian online** ngay tại nhà! **Thu nhập 600k-1.200k/ngày** chỉ với vài thao tác đơn giản. **Độ tuổi: 20-60**, không yêu cầu kinh nghiệm. **Đăng ký ngay:** Fanpage: facebook.com/worldnewjob **Hotline/Zalo:** 0987654321",1,accepted_label_1
Trung tâm Y tế Dự phòng: Cảnh báo tài khoản sức khỏe của bạn chưa được cập nhật đủ dữ liệu theo quy định. Truy cập ngay https://capnhatyte.tk để xác thực hoặc gọi 0987654321 hỗ trợ khẩn cấp.,1,accepted_label_1
Hà Nội – Website: https://sexy-online247.vn. Hãy ghé thăm ngay: sexy-online247.vn/hn-tuyendung. qXz8,1,accepted_label_1
": Chào bạn, mình là Linh. Mình vừa phát hiện 1 dự án đầu tư sinh lời cực khủng. Nhấn vào đây để tham gia ngay: t.me/dautuchot_2024",0,accepted_label_0
San bong Mini: Da xac nhan dat san 1 vao luc 17h-18h chieu nay.,0,accepted_label_0
[DIGI BANK] Thông báo khẩn: Tài khoản của bạn có dấu hiệu bất thường. Truy cập ngay digibank.dn-lk.vn để cập nhật bảo mật!,1,accepted_label_1
"[MB] TK 0991****4455 -1,000,000VND luc 21:05. ND: Chuyen khoan qua App MBBank. So du: 14,200,000VND.",0,accepted_label_0
"Chào bạn! Tôi là trưởng phòng tuyển dụng tại Cty Sunny Group, đang tuyển gấp nhân viên bán thời gian. Lương hấp dẫn 700k-1.5tr/ngày, chỉ cần điện thoại và mạng ổn định. Độ tuổi từ 18-70 đều có thể ứng tuyển. Làm tại nhà, không yêu cầu kinh nghiệm, lịch rảnh thế nào cũng sắp xếp được. Liên hệ ngay: - Zalo: zalo.me/84938800008 - Hotline: 0938880000",0,accepted_label_0
Cục Thuế: Quý khách có khoản tiền hoàn thuế năm 2024 chưa nhận. Truy cập ngay https://hoanthue2024.online để xác nhận.,1,accepted_label_1
BO CONG AN: Nhắc nhở công dân có CCCD sắp hết hạn vào năm 2024 vui lòng đến cơ quan Công an gần nhất để thực hiện thủ tục cấp đổi theo quy định.,0,accepted_label_0
[GHN] GHNR240522001: Dang phan loai tai kho Ha Noi. Du kien giao 23/05 (tu 8h-18h). Theo doi tai https://ghn.vn,0,accepted_label_0
"Bạn muốn kiếm thêm thu nhập hằng tháng? Chỉ cần đăng ký ứng dụng TikPlus, mỗi ngày chỉ 10 phút là có thể kiếm 1 triệu đồng nhé!",0,accepted_label_0
"Oanh dạo này rảnh không, tớ đang làm thêm cái này thu nhập ổn lắm, ngày 500k, rảnh thì tớ chỉ cho. Nhắn qua zalo 0345678901 nha.",0,accepted_label_0
"Nhanh tay đầu tư 50 triệu vào ứng dụng Siêu Lợi Nhuận, chỉ cần chuyển khoản tới số tài khoản 8899776655 tại ngân hàng Techcombank. Chúng tôi sẽ hướng dẫn bạn kiếm 500 triệu sau 3 ngày!",1,accepted_label_1
**Tin nhắn mới:** **Z_A-L-O_-W-E_C_H_A_T**: K_e_t-i-n_h-g_á_i-v_à-đ_ặ_n-g. Tham khảo profile: https://zalo.me/kt_nguoiy_tin 9MxR,1,accepted_label_1
[Vietnam Airlines] Thong bao thay doi gio bay chuyen VN123 sang 14h00.,0,accepted_label_0
BHXH TPHCM: Quý khách đủ điều kiện nhận hỗ trợ theo quyết định 234/2024/QĐ-BHXH. Nhận ngay tại http://xaydung88.vn. Chậm trễ sẽ không được xét duyệt!,1,accepted_label_1
"Vinaphone: QK 0865432109 da su dung dich vu qua 2,500,000 phut trong thang. Nhan qua tang tri gia 500.000d bang cach goi lai so nay de xac nhan.",0,accepted_label_0
"TIN KHẨNG: Văn phòng Truy thu Công nợ nhắc nhở anh Đinh Quang Vĩnh (CMND: 191283745). Đã nợ 22,750,000VND tại F88. Quá 20h00 hôm nay nếu chưa thanh toán sẽ bị khởi tố tội gian lận tài sản. Liên hệ qua số Zalo: 0888777333.",1,accepted_label_1
"Chào em, anh có nhu cầu tìm bạn gái, bạn trẻ 18+. Ghé qua đây nhé: https://t.me/hn_girls_vip_18",1,accepted_label_1
"Shoppe tuyển dụng nhân viên đóng gói hàng hóa TMĐT. Lương hấp dẫn 1.000.000đ~5.000.000đ/ngày. Độ tuổi 18–60, hoàn toàn làm việc tại nhà. Đăng ký ngay: zalo.me/84987654321 hoặc nhắn zalo 84987654321",0,accepted_label_0
Shopee: Don hang #240520MNKLPY cua ban da dat thanh cong. Shop dang chuan bi hang de giao cho don vi van chuyen.,0,accepted_label_0
SPX Express: SPXVN1122334455 da giao thanh cong luc 13:25 ngay 28/05. Cam on ban da mua sam.,0,accepted_label_0
[ACB] Bao cao bao mat: Co 6200123456789 dang co y dinh truy cap tai khoan Tran Thi B cua QK. Goi 19008888 ngay de kich hoat bao ve.,0,accepted_label_0
"Shopee: Ma xac minh dang nhap tai khoan Shopee cua ban la 772109. KHONG chia se ma nay voi bat ky ai, ke ca nhan vien Shopee.",1,accepted_label_1
Hãy ghé thăm website thân thiện **VuiVẻKếtBạn.vn** để tìm kiếm những người bạn tri kỉ cùng sở thích. Mọi giao dịch diễn ra trên nền tảng bảo mật hoàn toàn. Liên hệ ngay: **vkbtrogiup@gmail.com**,0,accepted_label_0
"**Tin nhắn viết lại:** **** **SẮP XẾP CUỘC ĐỜI BẰNG ĐÔI TAY NHÀ CÁI SÔNG LÔ ** **TỈ LỆ THƯỞNG KHỦNG: 200% CHO MỌI PHÁT SINH!** **Chỉ cần nạp 1k, rút ngay 2k – NHẬP LÀ ĂN LẬP TỨC!** **THỂ THAO – CASINO – XỔ SỐ – ĐÁ GÀ ĐỀU LÊN ĐỜI!** **LIÊN HỆ NGAY:** **Website:** sunloto.com **Telegram:** @sunloto_official **CƠ HỘI KHÔNG ĐẾN HAI LẦN – NẮM BẮT NGAY!**",1,accepted_label_1
"""CẤP BÁO ĐỘT NGỘT: Ông Trần Minh Cương CMND 031093448572 đang thiếu 32.400.000 VNĐ. Đến 16:30 hôm nay phải chuyển ngay 4.100.000 VNĐ không sẽ gửi thông tin tới gia đình, sếp trực tiếp. Gọi ngay: 0377665544.""",1,accepted_label_1
"[Mobifone] QK vui long xac nhan so dien thoai 0912345678 van con su dung. Neu khong xac nhan truoc 17h hom nay, thue bao se bi thu hoi theo quy dinh.",0,accepted_label_0
SHB Online: Điểm thưởng của bạn sắp hết hạn. Truy cập ngay shb-online.top để quy đổi trước 22:00 hôm nay.,1,accepted_label_1
Chuyển khoản ngay vào tài khoản: 123456789 - Ngân hàng VPBank - Công ty TNHH Đầu tư Tài chính XYZ để nhận mã giao dịch ngay nhé!,1,accepted_label_1
[Apple] Ma xac thuc cua ban la: 661029. Co hieu luc trong 5 phut.,1,accepted_label_1
"Chị Bình, bên công ty em đang tuyển CTV gõ văn bản tại nhà, không cọc không phí, rảnh làm bận nghỉ. Chị quan tâm thì nhắn Zalo trưởng phòng em 0345678901.",0,accepted_label_0
Công an tỉnh Hưng Yên: Phát hiện vi phạm phương tiện chưa nộp phí BOT. Truy cập ngay: https://hungyen-csgt.vn,1,accepted_label_1
Công ty TNHH Minh Anh tuyển dụng cộng tác viên bán thời gian làm việc online. Mức thu nhập hấp dẫn từ 800.000đ - 2.500.000đ/ngày. Độ tuổi từ 20-65 tuổi. Liên hệ ngay Phòng Đào tạo qua Zalo: zalo.me/84983745218,0,accepted_label_0
"**Tuyển dụng Nhân viên Online - FPT Homejob** Công việc nhẹ nhàng, thu nhập **1.200.000đ/ngày** ngay tại nhà. Chỉ cần hoàn thành đơn hàng đơn giản, nhận tiền sau **20 phút**. Liên hệ ngay: - Zalo: zalo.me/84987654321 - Hotline: 0987654321",0,accepted_label_0
[JT] JT112233445566: Kien hang cua ban da duoc giao thanh cong luc 16:00.,0,accepted_label_0
TikTok Shop: Don hang TTS776655443 da giao thanh cong. Hay cho TikTok Shop biet cam nhan cua ban ve san pham nhe.,0,accepted_label_0
[Cong an TP] Can lam viec ve ho so BHXH cua Pham Thi Huong. Co so du lieu cho thay co sai sot can chinh sua. Goi 1234/CV-CT de dat lich lam viec.,0,accepted_label_0
