sample_id,content,label,has_url,has_phone_number,sender_type,category,obfuscation_level,data_origin,source_dataset,source_file,source_row_id
phase1_02568,KFC: Combo Ga Ran 99k tang 1 Pepsi size L khi dat qua app KFC Vietnam. Ma: KFC99. Han dung 15/05/2026. Chi tiet tai kfc.com.vn. Tu choi QC: TC gui 8079.,0,1,1,brandname,Quảng cáo hợp lệ,NONE,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,0
phase1_02569,Lotteria tang Quy khach voucher giam 30k cho don hang tu 150k. Ap dung tai cua hang den het ngay 20/06/2026. Dat ngay tai lotteria.vn.,0,1,0,shortcode,Quảng cáo hợp lệ,NONE,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,1
phase1_02570,Highland Coffee: Mua 2 tinh 1 cho dong Tra va Freeze vao khung gio 14h-18h hang ngay. Han dung 30/04/2026. Xem menu tai highlandscoffee.com.vn.,0,1,0,brandname,Quảng cáo hợp lệ,NONE,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,2
phase1_02571,The Coffee House gui tang Quy khach ma TCH20 giam 20% tong hoa don. Ap dung cho don tu 100k tai App den 10/05/2026. Lien he 18006936.,0,0,1,shortcode,Quảng cáo hợp lệ,NONE,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,3
phase1_02572,McDonald's: Mua 1 Burger tang 1 phan Khoai tay chien size M. Ap dung duy nhat vao Thu Ba hang tuan den 30/06/2026. Website: mcdonalds.vn.,0,1,0,brandname,Quảng cáo hợp lệ,NONE,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,4
phase1_02573,"Jollibee chuc mung sinh nhat thang 5, tang combo Ga Gion 149k giam con 99k. Ma: JOLIB5. Han dung 31/05/2026. Truy cap jollibee.com.vn.",0,1,0,shortcode,Quảng cáo hợp lệ,NONE,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,5
phase1_02574,KFC: Giam ngay 50.000d cho don hang tu 200.000d khi thanh toan qua the Visa. Thoi gian tu 01/05 den 31/05/2026. Chi tiet: kfc.com.vn.,0,1,0,brandname,Quảng cáo hợp lệ,NONE,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,6
phase1_02575,The Coffee House: Thuong thuc ly CloudTea moi voi uu dai Mua 1 Tang 1. Ap dung tai cua hang den het ngay 15/05/2026. Hotline 18006936.,0,0,1,brandname,Quảng cáo hợp lệ,NONE,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,7
phase1_02576,Highland Coffee: Nhan voucher 20k khi thanh toan bang MoMo cho hoa don tu 100k. Han dung 25/05/2026. Truy cap highlandscoffee.com.vn.,0,1,0,shortcode,Quảng cáo hợp lệ,NONE,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,8
phase1_02577,Lotteria: Combo Family giam chi con 259k (gia goc 350k). Ap dung cho nhom 4 nguoi tai cua hang den 30/05/2026. Soan TC gui 9999.,0,0,1,brandname,Quảng cáo hợp lệ,NONE,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,9
phase1_02578,McDonald's: Uu dai 15% cho khach hang thanh vien khi dat lich qua app McDonald's. Han dung 31/07/2026. Lien he hotline 19009001.,0,0,1,shortcode,Quảng cáo hợp lệ,NONE,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,10
phase1_02579,Jollibee: Mua 1 mi y tang 1 kem que. Ap dung tai tat ca chi nhanh tren toan quoc vao cac ngay trong tuan den 20/05/2026.,0,0,0,brandname,Quảng cáo hợp lệ,NONE,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,11
phase1_02580,MoMo tang Quy khach goi qua 500.000d khi gioi thieu ban be tai khoan moi thanh cong. Thoi han chuong trinh den 31/12/2026. Xem tai momo.vn.,0,1,0,brandname,Quảng cáo hợp lệ,NONE,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,12
phase1_02581,Grab: Nhap ma GRABFOOD giam ngay 25k cho don hang tu 100k. Uu dai ap dung den het ngay 15/05/2026. Dat ngay tai ung dung Grab.,0,0,0,shortcode,Quảng cáo hợp lệ,NONE,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,13
