content,Gemini,Mistral
bạn gái xinh xắn chờ bạn ngay tại sài gòn. sài gòn – line: @saigon_girl_123,1,0
"tpbank: he thong ghi nhan yeu cau rut 20,000,000 vnd tu atm luc 02:15. neu qk khong thuc hien, goi 19001234 de huy ngay.",1,0
": chào bạn, mình là linh. mình vừa phát hiện 1 dự án đầu tư sinh lời cực khủng. nhấn vào đây để tham gia ngay: t.me/dautuchot_2024",1,0
"chào bạn! tôi là trưởng phòng tuyển dụng tại cty sunny group, đang tuyển gấp nhân viên bán thời gian. lương hấp dẫn 700k-1.5tr/ngày, chỉ cần điện thoại và mạng ổn định. độ tuổi từ 18-70 đều có thể ứng tuyển. làm tại nhà, không yêu cầu kinh nghiệm, lịch rảnh thế nào cũng sắp xếp được. liên hệ ngay: - zalo: zalo.me/84938800008 - hotline: 0938880000",1,0
"bạn muốn kiếm thêm thu nhập hằng tháng? chỉ cần đăng ký ứng dụng tikplus, mỗi ngày chỉ 10 phút là có thể kiếm 1 triệu đồng nhé!",1,0
"oanh dạo này rảnh không, tớ đang làm thêm cái này thu nhập ổn lắm, ngày 500k, rảnh thì tớ chỉ cho. nhắn qua zalo 0345678901 nha.",1,0
"vinaphone: qk 0865432109 da su dung dich vu qua 2,500,000 phut trong thang. nhan qua tang tri gia 500.000d bang cach goi lai so nay de xac nhan.",1,0
"shoppe tuyển dụng nhân viên đóng gói hàng hóa tmđt. lương hấp dẫn 1.000.000đ~5.000.000đ/ngày. độ tuổi 18–60, hoàn toàn làm việc tại nhà. đăng ký ngay: zalo.me/84987654321 hoặc nhắn zalo 84987654321",1,0
[acb] bao cao bao mat: co 6200123456789 dang co y dinh truy cap tai khoan tran thi b cua qk. goi 19008888 ngay de kich hoat bao ve.,1,0
"shopee: ma xac minh dang nhap tai khoan shopee cua ban la 772109. khong chia se ma nay voi bat ky ai, ke ca nhan vien shopee.",0,1
hãy ghé thăm website thân thiện **vuivẻkếtbạn.vn** để tìm kiếm những người bạn tri kỉ cùng sở thích. mọi giao dịch diễn ra trên nền tảng bảo mật hoàn toàn. liên hệ ngay: **vkbtrogiup@gmail.com**,1,0
"[mobifone] qk vui long xac nhan so dien thoai 0912345678 van con su dung. neu khong xac nhan truoc 17h hom nay, thue bao se bi thu hoi theo quy dinh.",1,0
[apple] ma xac thuc cua ban la: 661029. co hieu luc trong 5 phut.,0,1
