dataset,metric,value,gamma,sample_n,pca_dim
phase1,centroid_cosine_distance,0.026134788990020752,,,
phase1,mmd_rbf,0.05121874809265137,0.8227962851524353,246.0,
phase1,frechet_pca50,0.1245927472610487,,246.0,50.0
phase1,js_divergence_category,0.5791787437062584,,,
phase1,js_divergence_sender_type,0.05206649089963719,,,
phase1,js_divergence_has_url,0.0002493439119221772,,,
phase1,js_divergence_has_phone_number,0.0011397853439239697,,,
phase1,js_divergence_obfuscation_level,0.3506759847195621,,,
current,centroid_cosine_distance,0.05941295623779297,,,
current,mmd_rbf,0.08378159999847412,0.8037910461425781,246.0,
current,frechet_pca50,0.1522836846047467,,246.0,50.0
current,js_divergence_category,0.14903271930763204,,,
current,js_divergence_sender_type,0.02261135402167651,,,
current,js_divergence_has_url,0.004607898193443248,,,
current,js_divergence_has_phone_number,0.002527230763978946,,,
current,js_divergence_obfuscation_level,0.0716983130238562,,,
