dataset,slice,mean,std,cv,min,p50,p90,max
phase1,all,142.27229691346335,78.7016500049936,0.5531762100731642,2.0,119.0,249.0,920.0
phase1,label_1_all,121.07134681419305,48.55622361385791,0.4010546251573186,12.0,111.0,190.0,920.0
phase1,label_1_synthetic_like,117.47598078462771,39.810490120541616,0.3388819557380619,12.0,110.0,182.0,298.0
phase1,label_1_real,194.08943089430895,111.61959994349574,0.575093653627528,49.0,156.0,351.5,920.0
phase1,label_0_synthetic_like,112.29843281093697,37.16135478748433,0.33091605873118746,23.0,110.0,162.0,219.0
phase1,label_0_real,228.8845325290823,106.7677702603102,0.4664700103609849,2.0,227.0,362.0,916.0
current,all,156.82645332323423,84.9392884360856,0.541613271461401,2.0,144.0,274.0,920.0
current,label_1_all,161.44048073254484,60.15657417633328,0.3726238543354777,31.0,149.0,240.0,920.0
current,label_1_synthetic_like,159.8328662930344,55.9326367745718,0.34994452687863337,31.0,149.0,238.0,554.0
current,label_1_real,194.08943089430895,111.61959994349576,0.5750936536275281,49.0,156.0,351.5,920.0
current,label_0_synthetic_like,111.60810810810811,37.07081493093952,0.3321516291184798,29.0,109.0,161.0,215.0
current,label_0_real,176.74202287778448,121.4147561886572,0.6869603177090171,2.0,158.5,330.0,916.0
