split,category,rows,accuracy,macro_f1,f1_label_1,recall_label_1,precision_label_1,agree_rate,mean_confidence
train,Giả mạo ngân hàng,407,0.9901719901719902,0.49753086419753084,0.9950617283950617,0.9901719901719902,1.0,0.9901719901719902,0.9987954164127765
train,Khác,585,0.9914529914529915,0.9910372025040677,0.9891067538126361,0.9869565217391304,0.9912663755458515,0.9914529914529915,0.9975847899829061
train,Đòi nợ / Đe dọa,391,0.9974424552429667,0.499359795134443,0.998719590268886,0.9974424552429667,1.0,0.9974424552429667,0.999629743248082
train,Cờ bạc / Betting,531,0.9981167608286252,0.49952874646559847,0.9990574929311969,0.9981167608286252,1.0,0.9981167608286252,0.9993279607532954
train,Viễn thông,898,1.0,1.0,0.0,0.0,0.0,1.0,0.999501788040089
train,Tuyển dụng giả,555,1.0,1.0,1.0,1.0,1.0,1.0,0.9996475918918919
train,BHXH / Trợ cấp giả,524,1.0,1.0,1.0,1.0,1.0,1.0,0.9996535345801528
train,Crypto / Đầu tư giả,511,1.0,1.0,1.0,1.0,1.0,1.0,0.9996284154207435
train,Nội dung nhạy cảm,506,1.0,1.0,1.0,1.0,1.0,1.0,0.9996240797233201
train,Tin nhắn cá nhân và OTP,494,1.0,1.0,0.0,0.0,0.0,1.0,0.999092375688259
train,Dịch vụ công giả,449,1.0,1.0,1.0,1.0,1.0,1.0,0.9996357278619153
train,P2P hard negative,351,1.0,1.0,0.0,0.0,0.0,1.0,0.9981248182051282
train,P2P hội thoại thông thường,350,1.0,1.0,0.0,0.0,0.0,1.0,0.9994483675142858
train,Ngân hàng thật,332,1.0,1.0,0.0,0.0,0.0,1.0,0.999459452439759
train,Quảng cáo hợp lệ,276,1.0,1.0,0.0,0.0,0.0,1.0,0.9994994403260868
train,Dịch vụ công thật,273,1.0,1.0,0.0,0.0,0.0,1.0,0.9978258912820512
train,Vận chuyển,224,1.0,1.0,0.0,0.0,0.0,1.0,0.9995515435714284
train,Thương mại điện tử,203,1.0,1.0,0.0,0.0,0.0,1.0,0.9992458940886699
train,Dịch vụ y tế,166,1.0,1.0,0.0,0.0,0.0,1.0,0.9995369365060239
val,Khác,111,0.918918918918919,0.9081548221016824,0.8767123287671232,0.9142857142857143,0.8421052631578947,0.918918918918919,0.9940956256756757
