split,data_origin,rows,accuracy,macro_f1,f1_label_1,recall_label_1,precision_label_1,agree_rate,mean_confidence
train,real,1797,0.9944351697273233,0.9836714740560895,0.9704142011834319,0.9534883720930233,0.9879518072289156,0.9944351697273233,0.9982245403561492
train,paraphrased,3465,0.9997113997113997,0.4999278395150815,0.999855679030163,0.9997113997113997,1.0,0.9997113997113997,0.9996439471746033
train,synthetic,1606,1.0,1.0,1.0,1.0,1.0,1.0,0.9994703575155667
train,synthetic_hard_positive,457,1.0,1.0,1.0,1.0,1.0,1.0,0.9995884908533916
train,external_curated,351,1.0,1.0,0.0,0.0,0.0,1.0,0.9981248182051282
train,external_real,350,1.0,1.0,0.0,0.0,0.0,1.0,0.9994483675142858
val,real,385,0.9558441558441558,0.8713665218843969,0.7671232876712328,0.7567567567567568,0.7777777777777778,0.9558441558441558,0.9971477310649351
val,paraphrased,434,0.9976958525345622,0.4994232987312572,0.9988465974625144,0.9976958525345622,1.0,0.9976958525345622,0.9994415250921659
val,synthetic,201,1.0,1.0,0.0,0.0,0.0,1.0,0.9994627033830846
val,synthetic_hard_positive,66,1.0,1.0,1.0,1.0,1.0,1.0,0.9928294289393937
val,external_curated,50,1.0,1.0,0.0,0.0,0.0,1.0,0.9990393631999999
val,external_real,50,1.0,1.0,0.0,0.0,0.0,1.0,0.9994098562000002
test_real,real,385,0.9662337662337662,0.9083148619685284,0.8354430379746836,0.8918918918918919,0.7857142857142857,0.9662337662337662,0.9943835267532467
test_mixed,synthetic,201,0.9850746268656716,0.49624060150375937,0.0,0.0,0.0,0.9850746268656716,0.995592577313433
test_mixed,paraphrased,434,0.9976958525345622,0.4994232987312572,0.9988465974625144,0.9976958525345622,1.0,0.9976958525345622,0.9992800434562212
test_challenge,synthetic_hard_positive,130,1.0,1.0,1.0,1.0,1.0,1.0,0.997946234923077
test_challenge,external_curated,100,1.0,1.0,0.0,0.0,0.0,1.0,0.9957898383000001
test_challenge,external_real,100,1.0,1.0,0.0,0.0,0.0,1.0,0.9974391585999999
