split,data_origin,rows,accuracy,macro_f1,f1_label_1,recall_label_1,precision_label_1,roc_auc,pr_auc
train,external_curated,350,0.9971428571428571,0.49928469241773965,0.0,0.0,0.0,,
train,paraphrased,4333,0.9933071774751904,0.49832117633437534,0.9966423526687507,0.9933071774751904,1.0,,
train,real,1796,0.970489977728285,0.9039078691407452,0.8239202657807309,0.7209302325581395,0.9612403100775194,0.9883291327758047,0.9357539818770396
train,synthetic,10,1.0,1.0,1.0,1.0,1.0,,
train,synthetic_hard_negative,653,0.9709035222052067,0.4926184926184926,0.9852369852369852,0.9709035222052067,1.0,,
val,external_curated,75,1.0,1.0,0.0,0.0,0.0,,
val,external_real,75,1.0,1.0,0.0,0.0,0.0,,
val,real,385,0.9454545454545454,0.8370912168288702,0.704225352112676,0.6756756756756757,0.7352941176470589,0.9457129543336441,0.7718799782586813
test_challenge,external_curated,76,0.9868421052631579,0.4966887417218543,0.0,0.0,0.0,,
test_challenge,external_real,75,0.9866666666666667,0.4966442953020134,0.0,0.0,0.0,,
test_challenge,real,386,0.9481865284974094,0.8246251703771013,0.6774193548387096,0.5675675675675675,0.84,0.9640672190815457,0.8378076590439796
