split,data_origin,rows,accuracy,macro_f1,f1_label_1,recall_label_1,precision_label_1,roc_auc,pr_auc
train,external_curated,350,1.0,1.0,0.0,0.0,0.0,,
train,paraphrased,4333,0.9960766212785599,0.4990172274251359,0.9980344548502718,0.9960766212785599,1.0,,
train,real,1796,0.9732739420935412,0.9152680309016925,0.8451612903225807,0.7616279069767442,0.9492753623188406,0.9845235708557681,0.9243781339854218
train,synthetic,10,1.0,1.0,1.0,1.0,1.0,,
train,synthetic_hard_positive,653,0.9724349157733537,0.49301242236024845,0.9860248447204969,0.9724349157733537,1.0,,
val,external_curated,75,0.9866666666666667,0.4966442953020134,0.0,0.0,0.0,,
val,external_real,75,1.0,1.0,0.0,0.0,0.0,,
val,real,385,0.9402597402597402,0.834054834054834,0.7012987012987013,0.7297297297297297,0.675,0.9544113078595837,0.7710204644784551
test_challenge,external_curated,76,1.0,1.0,0.0,0.0,0.0,,
test_challenge,external_real,75,0.9866666666666667,0.4966442953020134,0.0,0.0,0.0,,
test_challenge,real,386,0.9533678756476683,0.8421626533393912,0.7096774193548387,0.5945945945945946,0.88,0.9604274761867885,0.8121881522972171
