split,data_origin,rows,accuracy,macro_f1,f1_label_1,recall_label_1,precision_label_1,roc_auc,pr_auc
train,external_curated,350,1.0,1.0,0.0,0.0,0.0,,
train,paraphrased,4333,1.0,1.0,1.0,1.0,1.0,,
train,real,1796,0.9983296213808464,0.9951397765271413,0.9912023460410557,0.9825581395348837,1.0,1.0,1.0
train,synthetic,10,1.0,1.0,1.0,1.0,1.0,,
train,synthetic_hard_positive,653,1.0,1.0,1.0,1.0,1.0,,
val,external_curated,75,0.9866666666666667,0.4966442953020134,0.0,0.0,0.0,,
val,external_real,75,0.9866666666666667,0.4966442953020134,0.0,0.0,0.0,,
val,real,385,0.9714285714285714,0.9206349206349206,0.8571428571428571,0.8918918918918919,0.825,0.9837682510096304,0.8968882636177926
test_challenge,external_curated,76,1.0,1.0,0.0,0.0,0.0,,
test_challenge,external_real,75,0.9866666666666667,0.4966442953020134,0.0,0.0,0.0,,
test_challenge,real,386,0.9792746113989638,0.940215286920158,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.9896228606830326,0.9422799705836121
