split,data_origin,rows,accuracy,macro_f1,f1_label_1,recall_label_1,precision_label_1,roc_auc,pr_auc
train,external_curated,350,0.9971428571428571,0.49928469241773965,0.0,0.0,0.0,,
train,paraphrased,4333,0.9988460650819294,0.49971134972866876,0.9994226994573375,0.9988460650819294,1.0,,
train,real,1796,0.987750556792873,0.9628896344189436,0.9325153374233128,0.8837209302325582,0.987012987012987,0.996956982472219,0.9797993093274323
train,synthetic,10,1.0,1.0,1.0,1.0,1.0,,
train,synthetic_hard_positive,653,1.0,1.0,1.0,1.0,1.0,,
val,external_curated,75,0.9866666666666667,0.4966442953020134,0.0,0.0,0.0,,
val,external_real,75,0.9866666666666667,0.4966442953020134,0.0,0.0,0.0,,
val,real,385,0.9558441558441558,0.8773448773448773,0.7792207792207793,0.8108108108108109,0.75,0.9753805529667599,0.8521152907077956
test_challenge,external_curated,76,0.9736842105263158,0.49333333333333335,0.0,0.0,0.0,,
test_challenge,external_real,75,1.0,1.0,0.0,0.0,0.0,,
test_challenge,real,386,0.9715025906735751,0.9167891508417112,0.8493150684931506,0.8378378378378378,0.8611111111111112,0.9852087044064122,0.9035397704545203
