split,group_col,group_value,rows,accuracy,macro_f1,f1_label_1,recall_label_1,precision_label_1,roc_auc,pr_auc
train,data_origin,external_curated,351,0.9971509971509972,0.4992867332382311,0.0,0.0,0.0,,
train,data_origin,external_real,350,0.9971428571428571,0.49928469241773965,0.0,0.0,0.0,,
train,data_origin,paraphrased,3333,0.9963996399639964,0.49909828674481516,0.9981965734896303,0.9963996399639964,1.0,,
train,data_origin,real,1281,0.970335675253708,0.9163780663780663,0.8492063492063492,0.8770491803278688,0.823076923076923,0.9835358350188829,0.924355289867321
train,data_origin,synthetic,1506,0.9953519256308101,0.8691978410571375,0.7407407407407407,1.0,0.5882352941176471,1.0,0.9999999999999999
train,data_origin,synthetic_hard_positive,391,0.9744245524296675,0.49352331606217614,0.9870466321243523,0.9744245524296675,1.0,,
train,category,BHXH / Trợ cấp giả,496,0.9899193548387096,0.49746707193515705,0.9949341438703141,0.9899193548387096,1.0,,
train,category,Crypto / Đầu tư giả,491,0.9979633401221996,0.49949031600407745,0.9989806320081549,0.9979633401221996,1.0,,
train,category,Cờ bạc / Betting,502,0.99800796812749,0.4995014955134596,0.9990029910269193,0.99800796812749,1.0,,
train,category,Dịch vụ công giả,423,0.983451536643026,0.4958283671036949,0.9916567342073898,0.983451536643026,1.0,,
train,category,Dịch vụ công thật,229,0.9781659388646288,0.49448123620309054,0.0,0.0,0.0,,
train,category,Dịch vụ y tế,156,0.9935897435897436,0.4983922829581994,0.0,0.0,0.0,,
train,category,Giả mạo ngân hàng,375,0.9893333333333333,0.4973190348525469,0.9946380697050938,0.9893333333333333,1.0,,
train,category,Khác,445,0.952808988764045,0.9520496282499269,0.9460154241645244,0.9583333333333334,0.934010152284264,0.9880393610013176,0.9857724524639345
train,category,Ngân hàng thật,291,0.9896907216494846,0.49740932642487046,0.0,0.0,0.0,,
train,category,Nội dung nhạy cảm,485,0.9917525773195877,0.4979296066252588,0.9958592132505176,0.9917525773195877,1.0,,
train,category,P2P hard negative,351,0.9971509971509972,0.4992867332382311,0.0,0.0,0.0,,
train,category,P2P hội thoại thông thường,350,0.9971428571428571,0.49928469241773965,0.0,0.0,0.0,,
train,category,Quảng cáo hợp lệ,237,0.9873417721518988,0.4968152866242038,0.0,0.0,0.0,,
train,category,Thương mại điện tử,190,1.0,1.0,0.0,0.0,0.0,,
train,category,Tin nhắn cá nhân và OTP,416,0.9975961538461539,0.4993983152827918,0.0,0.0,0.0,,
train,category,Tuyển dụng giả,522,0.9980842911877394,0.49952061361457334,0.9990412272291467,0.9980842911877394,1.0,,
train,category,Viễn thông,676,0.9940828402366864,0.49851632047477745,0.0,0.0,0.0,,
train,category,Vận chuyển,207,1.0,1.0,0.0,0.0,0.0,,
train,category,Đòi nợ / Đe dọa,370,0.9837837837837838,0.49591280653950953,0.9918256130790191,0.9837837837837838,1.0,,
train,sender_type,brandname,2714,0.9852616064848931,0.9811295041662496,0.9722991689750693,0.9818181818181818,0.9629629629629629,0.9992100945577683,0.9978674124247263
train,sender_type,personal_number,3791,0.9928778686362437,0.9904954622301942,0.9952539989453331,0.9922888187872415,0.9982369534555712,0.9994200546015604,0.9998165107405689
