split,group_col,group_value,rows,accuracy,macro_f1,f1_label_1,recall_label_1,precision_label_1,roc_auc,pr_auc
train,data_origin,external_curated,351,1.0,1.0,0.0,0.0,0.0,,
train,data_origin,external_real,350,1.0,1.0,0.0,0.0,0.0,,
train,data_origin,paraphrased,3333,1.0,1.0,1.0,1.0,1.0,,
train,data_origin,real,1281,0.9992193598750976,0.9977433873851655,0.9959183673469387,1.0,0.991869918699187,0.9999858555283667,0.9998661737490796
train,data_origin,synthetic,1506,1.0,1.0,1.0,1.0,1.0,1.0,1.0
train,data_origin,synthetic_hard_positive,391,1.0,1.0,1.0,1.0,1.0,,
train,category,BHXH / Trợ cấp giả,496,1.0,1.0,1.0,1.0,1.0,,
train,category,Crypto / Đầu tư giả,491,1.0,1.0,1.0,1.0,1.0,,
train,category,Cờ bạc / Betting,502,1.0,1.0,1.0,1.0,1.0,,
train,category,Dịch vụ công giả,423,1.0,1.0,1.0,1.0,1.0,,
train,category,Dịch vụ công thật,229,1.0,1.0,0.0,0.0,0.0,,
train,category,Dịch vụ y tế,156,1.0,1.0,0.0,0.0,0.0,,
train,category,Giả mạo ngân hàng,375,1.0,1.0,1.0,1.0,1.0,,
train,category,Khác,445,0.9977528089887641,0.9977111996913977,0.9974025974025974,1.0,0.9948186528497409,0.9999794137022399,0.9999730138169258
train,category,Ngân hàng thật,291,1.0,1.0,0.0,0.0,0.0,,
train,category,Nội dung nhạy cảm,485,1.0,1.0,1.0,1.0,1.0,,
train,category,P2P hard negative,351,1.0,1.0,0.0,0.0,0.0,,
train,category,P2P hội thoại thông thường,350,1.0,1.0,0.0,0.0,0.0,,
train,category,Quảng cáo hợp lệ,237,1.0,1.0,0.0,0.0,0.0,,
train,category,Thương mại điện tử,190,1.0,1.0,0.0,0.0,0.0,,
train,category,Tin nhắn cá nhân và OTP,416,1.0,1.0,0.0,0.0,0.0,,
train,category,Tuyển dụng giả,522,1.0,1.0,1.0,1.0,1.0,,
train,category,Viễn thông,676,1.0,1.0,0.0,0.0,0.0,,
train,category,Vận chuyển,207,1.0,1.0,0.0,0.0,0.0,,
train,category,Đòi nợ / Đe dọa,370,1.0,1.0,1.0,1.0,1.0,,
train,sender_type,brandname,2714,0.9996315401621223,0.9995255001698513,0.9993011879804332,1.0,0.9986033519553073,0.9999993003494755,0.9999980466460914
