split,group_col,group_value,rows,accuracy,macro_f1,f1_label_1,recall_label_1,precision_label_1,roc_auc,pr_auc
train,data_origin,external_curated,351,0.9971509971509972,0.4992867332382311,0.0,0.0,0.0,,
train,data_origin,external_real,350,0.9971428571428571,0.49928469241773965,0.0,0.0,0.0,,
train,data_origin,paraphrased,3333,0.9996999699969997,0.4999249812453113,0.9998499624906226,0.9996999699969997,1.0,,
train,data_origin,real,1281,0.985167837626854,0.9554919584160045,0.9191489361702128,0.8852459016393442,0.9557522123893806,0.9957495862742047,0.9722670509258472
train,data_origin,synthetic,1506,1.0,1.0,1.0,1.0,1.0,1.0,1.0
train,data_origin,synthetic_hard_positive,391,1.0,1.0,1.0,1.0,1.0,,
train,category,BHXH / Trợ cấp giả,496,0.9979838709677419,0.49949545913218973,0.9989909182643795,0.9979838709677419,1.0,,
train,category,Crypto / Đầu tư giả,491,1.0,1.0,1.0,1.0,1.0,,
train,category,Cờ bạc / Betting,502,0.99800796812749,0.4995014955134596,0.9990029910269193,0.99800796812749,1.0,,
train,category,Dịch vụ công giả,423,1.0,1.0,1.0,1.0,1.0,,
train,category,Dịch vụ công thật,229,1.0,1.0,0.0,0.0,0.0,,
train,category,Dịch vụ y tế,156,1.0,1.0,0.0,0.0,0.0,,
train,category,Giả mạo ngân hàng,375,0.992,0.4979919678714859,0.9959839357429718,0.992,1.0,,
train,category,Khác,445,0.9707865168539326,0.9701694950213737,0.9658792650918635,0.9583333333333334,0.9735449735449735,0.9961091897233201,0.9955719338107765
train,category,Ngân hàng thật,291,1.0,1.0,0.0,0.0,0.0,,
train,category,Nội dung nhạy cảm,485,0.9979381443298969,0.49948400412796695,0.9989680082559339,0.9979381443298969,1.0,,
train,category,P2P hard negative,351,0.9971509971509972,0.4992867332382311,0.0,0.0,0.0,,
train,category,P2P hội thoại thông thường,350,0.9971428571428571,0.49928469241773965,0.0,0.0,0.0,,
train,category,Quảng cáo hợp lệ,237,1.0,1.0,0.0,0.0,0.0,,
train,category,Thương mại điện tử,190,1.0,1.0,0.0,0.0,0.0,,
train,category,Tin nhắn cá nhân và OTP,416,1.0,1.0,0.0,0.0,0.0,,
train,category,Tuyển dụng giả,522,1.0,1.0,1.0,1.0,1.0,,
train,category,Viễn thông,676,1.0,1.0,0.0,0.0,0.0,,
train,category,Vận chuyển,207,1.0,1.0,0.0,0.0,0.0,,
train,category,Đòi nợ / Đe dọa,370,0.9972972972972973,0.4993234100135318,0.9986468200270636,0.9972972972972973,1.0,,
train,sender_type,brandname,2714,0.9974207811348563,0.9966785011889595,0.9951083158630328,0.9958041958041958,0.994413407821229,0.9999391304043631,0.9998293625020717
train,sender_type,personal_number,3791,0.9963070429965708,0.9950559998330699,0.9975429975429976,0.9961444093936207,0.998945518453427,0.9997896203226021,0.9999338955589395
train,sender_type,shortcode,707,0.9985855728429985,0.9985344872259937,0.9982608695652174,0.9965277777777778,1.0,1.0,0.9999999999999999
train,has_url,0,3764,0.9965462274176408,0.9960543339471054,0.9946611909650924,0.9926229508196721,0.9967078189300411,0.9996761908444171,0.9994491745261865
