split,group_col,group_value,rows,accuracy,macro_f1,f1_label_1,recall_label_1,precision_label_1,roc_auc,pr_auc
train,data_origin,external_curated,351,0.9971509971509972,0.4992867332382311,0.0,0.0,0.0,,
train,data_origin,external_real,350,1.0,1.0,0.0,0.0,0.0,,
train,data_origin,paraphrased,3333,0.9996999699969997,0.4999249812453113,0.9998499624906226,0.9996999699969997,1.0,,
train,data_origin,real,1281,0.9781420765027322,0.930954030954031,0.8738738738738738,0.7950819672131147,0.97,0.99603247570687,0.9644632722950018
train,data_origin,synthetic,1506,0.99867197875166,0.9542110063849194,0.9090909090909091,1.0,0.8333333333333334,1.0,1.0
train,data_origin,synthetic_hard_positive,391,1.0,1.0,1.0,1.0,1.0,,
train,category,BHXH / Trợ cấp giả,496,1.0,1.0,1.0,1.0,1.0,,
train,category,Crypto / Đầu tư giả,491,0.9979633401221996,0.49949031600407745,0.9989806320081549,0.9979633401221996,1.0,,
train,category,Cờ bạc / Betting,502,0.99800796812749,0.4995014955134596,0.9990029910269193,0.99800796812749,1.0,,
train,category,Dịch vụ công giả,423,0.9952718676122931,0.49881516587677727,0.9976303317535545,0.9952718676122931,1.0,,
train,category,Dịch vụ công thật,229,0.9956331877729258,0.4989059080962801,0.0,0.0,0.0,,
train,category,Dịch vụ y tế,156,1.0,1.0,0.0,0.0,0.0,,
train,category,Giả mạo ngân hàng,375,0.9893333333333333,0.4973190348525469,0.9946380697050938,0.9893333333333333,1.0,,
train,category,Khác,445,0.9707865168539326,0.9700011926924254,0.9651474530831099,0.9375,0.994475138121547,0.9969326416337286,0.9962762334648914
train,category,Ngân hàng thật,291,0.993127147766323,0.4982758620689655,0.0,0.0,0.0,,
train,category,Nội dung nhạy cảm,485,0.9938144329896907,0.4984488107549121,0.9968976215098242,0.9938144329896907,1.0,,
train,category,P2P hard negative,351,0.9971509971509972,0.4992867332382311,0.0,0.0,0.0,,
train,category,P2P hội thoại thông thường,350,1.0,1.0,0.0,0.0,0.0,,
train,category,Quảng cáo hợp lệ,237,1.0,1.0,0.0,0.0,0.0,,
train,category,Thương mại điện tử,190,1.0,1.0,0.0,0.0,0.0,,
train,category,Tin nhắn cá nhân và OTP,416,0.9975961538461539,0.4993983152827918,0.0,0.0,0.0,,
train,category,Tuyển dụng giả,522,1.0,1.0,1.0,1.0,1.0,,
train,category,Viễn thông,676,1.0,1.0,0.0,0.0,0.0,,
train,category,Vận chuyển,207,1.0,1.0,0.0,0.0,0.0,,
train,category,Đòi nợ / Đe dọa,370,0.9918918918918919,0.49796472184531887,0.9959294436906377,0.9918918918918919,1.0,,
