sample_id,label,teacher_pred,teacher_confidence,teacher_agree_label,distill_weight,data_origin,category,effective_distill_weight,soft_target_p1,soft_target_p0,beta
ViSmish_00000,0,0,0.99933076,True,1.0,real,Viễn thông,1.0,0.0025225264999999995,0.9974774735,0.09999999999999998
ViSmish_00001,0,0,0.99947876,True,1.0,real,Khác,1.0,0.0022327212999999992,0.9977672787,0.09999999999999998
ViSmish_00003,1,1,0.99962234,True,1.0,paraphrased,Dịch vụ công giả,1.0,0.998093504,0.0019064960000000353,0.09999999999999998
ViSmish_00004,1,1,0.99962246,True,1.0,paraphrased,Giả mạo ngân hàng,1.0,0.9980936499999999,0.0019063500000000566,0.09999999999999998
ViSmish_00005,0,0,0.99931204,True,1.0,real,Viễn thông,1.0,0.002556688899999999,0.9974433111,0.09999999999999998
ViSmish_00006,1,1,0.9996232,True,1.0,paraphrased,BHXH / Trợ cấp giả,1.0,0.998095405,0.0019045949999999534,0.09999999999999998
ViSmish_00007,0,0,0.9994764,True,1.0,synthetic,Tin nhắn cá nhân và OTP,1.0,0.0022376333999999994,0.9977623666,0.09999999999999998
ViSmish_00008,0,0,0.9994543,True,1.0,real,Viễn thông,1.0,0.0022831816,0.9977168184,0.09999999999999998
ViSmish_00009,1,1,0.99959344,True,1.0,paraphrased,Nội dung nhạy cảm,1.0,0.99802296,0.0019770399999999855,0.09999999999999998
ViSmish_00010,1,1,0.9994766,True,1.0,synthetic_hard_negative,Giả mạo ngân hàng,1.0,0.99776283,0.0022371700000000105,0.09999999999999998
ViSmish_00013,1,1,0.9995912,True,1.0,paraphrased,Crypto / Đầu tư giả,1.0,0.998017764,0.001982236000000026,0.09999999999999998
ViSmish_00014,0,0,0.9993444,True,1.0,real,Dịch vụ công thật,1.0,0.0024973317999999996,0.9975026682,0.09999999999999998
ViSmish_00015,1,1,0.9995932,True,1.0,paraphrased,Cờ bạc / Betting,1.0,0.99802238,0.0019776200000000133,0.09999999999999998
ViSmish_00016,1,1,0.99962044,True,1.0,paraphrased,Tuyển dụng giả,1.0,0.998088616,0.001911384000000016,0.09999999999999998
ViSmish_00017,0,0,0.9994825,True,1.0,synthetic,Vận chuyển,1.0,0.0022246559999999993,0.997775344,0.09999999999999998
ViSmish_00018,0,0,0.99933857,True,1.0,external_curated,P2P hard negative,1.0,0.0025081905999999998,0.9974918094,0.09999999999999998
ViSmish_00019,1,1,0.99962485,True,1.0,paraphrased,Tuyển dụng giả,1.0,0.998099595,0.001900404999999994,0.09999999999999998
ViSmish_00021,0,0,0.9993368,True,1.0,real,Viễn thông,1.0,0.0025113114999999993,0.9974886885,0.09999999999999998
ViSmish_00024,1,1,0.9996247,True,1.0,paraphrased,Nội dung nhạy cảm,1.0,0.99809925,0.0019007500000000066,0.09999999999999998
ViSmish_00025,0,0,0.99945456,True,1.0,external_real,P2P hội thoại thông thường,1.0,0.0022827952999999995,0.9977172047,0.09999999999999998
ViSmish_00028,1,1,0.9996213,True,1.0,paraphrased,Giả mạo ngân hàng,1.0,0.99809063,0.0019093700000000213,0.09999999999999998
ViSmish_00029,0,0,0.99946016,True,1.0,real,Ngân hàng thật,1.0,0.0022712012999999993,0.9977287987,0.09999999999999998
ViSmish_00030,1,1,0.9996158,True,1.0,paraphrased,Tuyển dụng giả,1.0,0.998077136,0.0019228639999999686,0.09999999999999998
ViSmish_00032,1,1,0.9995814,True,1.0,paraphrased,Nội dung nhạy cảm,1.0,0.99799472,0.002005279999999998,0.09999999999999998
ViSmish_00033,1,1,0.9996105,True,1.0,paraphrased,Crypto / Đầu tư giả,1.0,0.998064286,0.0019357140000000328,0.09999999999999998
ViSmish_00034,0,0,0.9994497,True,1.0,synthetic,Tin nhắn cá nhân và OTP,1.0,0.0022926996,0.9977073004,0.09999999999999998
ViSmish_00035,0,0,0.9994326,True,1.0,external_curated,P2P hard negative,1.0,0.0023272526999999995,0.9976727473,0.09999999999999998
ViSmish_00038,0,0,0.9993824,True,1.0,real,Viễn thông,1.0,0.0024255524999999994,0.9975744475,0.09999999999999998
ViSmish_00039,0,0,0.99946755,True,1.0,synthetic,Ngân hàng thật,1.0,0.0022561454999999995,0.9977438545,0.09999999999999998
ViSmish_00040,1,1,0.9996234,True,1.0,paraphrased,Tuyển dụng giả,1.0,0.99809605,0.0019039499999999876,0.09999999999999998
ViSmish_00041,1,1,0.9995914,True,1.0,paraphrased,Dịch vụ công giả,1.0,0.99801823,0.001981769999999994,0.09999999999999998
ViSmish_00043,0,0,0.9970733,True,1.0,external_curated,P2P hard negative,1.0,0.005139405299999999,0.9948605947,0.09999999999999998
ViSmish_00047,1,1,0.9995683,True,1.0,paraphrased,Crypto / Đầu tư giả,1.0,0.997964054,0.0020359460000000107,0.09999999999999998
ViSmish_00048,0,0,0.99929297,True,1.0,external_curated,P2P hard negative,1.0,0.0025909639999999994,0.997409036,0.09999999999999998
ViSmish_00049,1,1,0.9994863,True,1.0,paraphrased,Nội dung nhạy cảm,1.0,0.997783226,0.002216773999999977,0.09999999999999998
ViSmish_00050,0,0,0.999432,True,1.0,synthetic,Tin nhắn cá nhân và OTP,1.0,0.0023283950999999996,0.9976716049,0.09999999999999998
ViSmish_00051,1,1,0.9996056,True,1.0,real,Cờ bạc / Betting,1.0,0.99805238,0.0019476200000000388,0.09999999999999998
ViSmish_00052,0,0,0.99947363,True,1.0,real,Khác,1.0,0.0022433196999999995,0.9977566803,0.09999999999999998
ViSmish_00053,1,1,0.99950945,True,1.0,paraphrased,BHXH / Trợ cấp giả,1.0,0.99783257,0.00216742999999997,0.09999999999999998
ViSmish_00054,0,0,0.99942386,True,1.0,real,Dịch vụ công thật,1.0,0.0023447142999999996,0.9976552857,0.09999999999999998
ViSmish_00055,1,1,0.99940896,True,1.0,synthetic_hard_negative,Khác,1.0,0.997625846,0.0023741539999999617,0.09999999999999998
ViSmish_00058,1,1,0.9996282,True,1.0,paraphrased,Tuyển dụng giả,1.0,0.99810781,0.0018921899999999603,0.09999999999999998
ViSmish_00059,0,0,0.9992812,True,1.0,external_curated,P2P hard negative,1.0,0.0026118585999999992,0.9973881414,0.09999999999999998
ViSmish_00060,0,0,0.99948174,True,1.0,synthetic,Thương mại điện tử,1.0,0.0022264593999999993,0.9977735406,0.09999999999999998
ViSmish_00061,0,0,0.9994796,True,1.0,synthetic,Vận chuyển,1.0,0.0022309969999999993,0.997769003,0.09999999999999998
ViSmish_00064,0,0,0.99946696,True,1.0,synthetic,Thương mại điện tử,1.0,0.0022572347999999993,0.9977427652,0.09999999999999998
