sample_id,content,label,has_url,has_phone_number,sender_type,category,obfuscation_level,data_origin,teacher_model,teacher_version,teacher_logit_0,teacher_logit_1,teacher_p0_t1,teacher_p1_t1,teacher_p0_t2,teacher_p1_t2,teacher_temperature,teacher_pred,teacher_confidence,teacher_agree_label,distill_weight,split,disagreement_type,confidence_bucket
ViSmish_07241,ACB: Tran trong thong bao.Tai khoản cua quy khach hien tai da bi khoa.Dang nhap https://onlinenhbidv.com de xac thuc ngay hom,1,1,0,personal_number,Giả mạo ngân hàng,Level 0 - Formal,real,vinai/phobert-base,/kaggle/working/distillation_teacher_phobert_base/model,3.588052,-3.6319551,0.9992687,0.0007312621,0.9736607,0.02633923,2.0,0,0.9992687,False,0.3,test_challenge,false_negative,>=0.99
ViSmish_08719,Mega88_Tuyển Cộng Tác Viên_Thưởng đến 70%,1,1,1,shortcode,Cờ bạc / Betting,Level 0 - Formal,paraphrased,vinai/phobert-base,/kaggle/working/distillation_teacher_phobert_base/model,3.3775733,-3.3430982,0.99879575,0.0012042762,0.96644163,0.03355833,2.0,0,0.99879575,False,0.3,test_challenge,false_negative,>=0.99
ViSmish_01280,Thí sinh lưu ý: Chỉ còn 2 ngày nữa để đăng ký nguyện vọng vào Đại học FPT bằng cách truy cập vào hệ thống hỗ trợ tuyển sinh chung của Bộ GD&ĐT theo địa chỉ: https://thisinh.thithptquocgia.edu.vn/. Hotline hỗ trợ tư vấn: 02873005588,0,1,1,brandname,Khác,NONE,real,vinai/phobert-base,/kaggle/working/distillation_teacher_phobert_base/model,-2.8074322,2.9135466,0.0032658023,0.99673426,0.054141633,0.94585836,2.0,1,0.99673426,False,0.3,test_challenge,false_positive,>=0.99
ViSmish_02806,[ThueDienTu] Thông báo: Đã nhận được khoản thanh toán thuế môn bài năm 2024 của MST 0314556677. Số tiền: 2.000.000đ. Trạng thái: Đã hoàn tất.,0,0,1,brandname,Dịch vụ công thật,NONE,synthetic,vinai/phobert-base,/kaggle/working/distillation_teacher_phobert_base/model,-1.9882336,2.0231485,0.017786268,0.98221374,0.118606694,0.8813933,2.0,1,0.98221374,False,0.3,test_challenge,false_positive,0.95-0.99
ViSmish_00564,"Ma xac nhan la 8499, vui long vao trang thisinh.thitotnghiepthpt.edu.vn nhap ma xac nhan trong 30 phut de dang ky (phi gui: 1.000d/tin).",0,1,0,shortcode,Tin nhắn cá nhân và OTP,NONE,real,vinai/phobert-base,/kaggle/working/distillation_teacher_phobert_base/model,-1.1615199,1.1508229,0.09010589,0.90989417,0.2393637,0.7606363,2.0,1,0.90989417,False,0.3,test_challenge,false_positive,0.90-0.95
ViSmish_01861,"Tiki: Don JT20250512345 giao khong thanh cong lan 3. QK vui long chuyen phi luu kho 200,000 VND truoc 48h. Goi 19001234 de dat lich giao lai.",1,0,1,brandname,Khác,Level 0 - Formal,synthetic_hard_positive,vinai/phobert-base,/kaggle/working/distillation_teacher_phobert_base/model,0.8806923,-0.78613335,0.8411521,0.15884785,0.6970761,0.30292395,2.0,0,0.8411521,False,0.3,test_challenge,false_negative,0.80-0.90
ViSmish_00717,"Khách hàng mới nạp đầu thưởng cao nhất lên đến 446,664K! K8 Tang ban 100k Nap 1trieu tang 1 trieu Link dki: https://t.ly/w0ldg Huong dan tai: https://t.ly/tMcwc Ho tro cskh qua tele: @k8nhacaiso1 LQEbk",1,1,0,personal_number,Cờ bạc / Betting,Level 1 - Leet nhẹ,real,vinai/phobert-base,/kaggle/working/distillation_teacher_phobert_base/model,0.25726292,-0.06517617,0.57991856,0.42008144,0.5402178,0.45978218,2.0,0,0.57991856,False,0.3,test_challenge,false_negative,<0.80
ViSmish_10097,"TNEX Ma OTP cua ban 632900, se het han sau 2 phut. Vui long KHONG chia se ma cho bat ky ai voi bat ky ly do nao https//vi.ecmjJ7U4frh",1,1,0,personal_number,Giả mạo ngân hàng,Level 2 - Leet nặng,real,vinai/phobert-base,/kaggle/working/distillation_teacher_phobert_base/model,3.7103167,-3.7413256,0.9994199,0.0005801509,0.97647357,0.02352648,2.0,0,0.9994199,False,0.3,test_mixed,false_negative,>=0.99
ViSmish_10149,"HUIT-Chucmung Ban da TRUNG TUYEN CHINH THUC! Moi ban den HUIT nhap hoc tu ngay 18/8 den 17h00 ngay 27/8/2024. Dong thoi HUIT tang ngay uu dai 3 trieu dong danh cho 2.000 thi sinh nhap hoc som nhat. Tra cuu ket qua tai: huit.edu.vn/kqtt. Lien hẹ: 02871085555, 0949981717, Zalo:",1,1,1,brandname,Khác,Level 2 - Leet nặng,real,vinai/phobert-base,/kaggle/working/distillation_teacher_phobert_base/model,3.1156068,-3.012706,0.99782455,0.002175513,0.9553898,0.044610213,2.0,0,0.99782455,False,0.3,test_mixed,false_negative,>=0.99
ViSmish_06104,"Ben Em nhan lam cac loai gplx may,oto..chung minh thu,can cuoc,dang ki xe,bang cap 3 den dai hoc va tat ca giay to khac,LH 0877.607.954 giao hang thu tien",1,0,1,personal_number,Khác,Level 0 - Formal,real,vinai/phobert-base,/kaggle/working/distillation_teacher_phobert_base/model,3.059936,-3.048665,0.99778134,0.0022187259,0.9549678,0.045032166,2.0,0,0.99778134,False,0.3,test_mixed,false_negative,>=0.99
ViSmish_00445,"DIEN LUC thong bao khach hang Lê Thị Hoa PE07QN0345678, co tong so hoa don 1, voi tong tien: 607262dong. De nghi Quy khach thanh toan trong vong 2 ngay ke tu khi nhan duoc tin nhan. Neu Quy khach da thanh toan, vui long bo qua tin nhan nay.",1,0,0,brandname,Dịch vụ công giả,Level 1 - Leet nhẹ,real,vinai/phobert-base,/kaggle/working/distillation_teacher_phobert_base/model,2.16183,-2.1295524,0.98649883,0.013501216,0.89526546,0.10473456,2.0,0,0.98649883,False,0.3,test_mixed,false_negative,0.95-0.99
