split,category,rows,accuracy,macro_f1,f1_label_1,recall_label_1,precision_label_1,agree_rate,mean_confidence
train,Khác,445,0.9842696629213483,0.9839582657417565,0.9817232375979112,0.9791666666666666,0.9842931937172775,0.9842696629213483,0.9953609341348314
train,Giả mạo ngân hàng,375,0.9893333333333333,0.4973190348525469,0.9946380697050938,0.9893333333333333,1.0,0.9893333333333333,0.9972929197066666
train,Ngân hàng thật,291,0.9965635738831615,0.4991394148020654,0.0,0.0,0.0,0.9965635738831615,0.9993749849140895
train,P2P hard negative,351,0.9971509971509972,0.4992867332382311,0.0,0.0,0.0,0.9971509971509972,0.9982915498290599
train,Tin nhắn cá nhân và OTP,416,0.9975961538461539,0.4993983152827918,0.0,0.0,0.0,0.9975961538461539,0.9988997856009616
train,Dịch vụ công giả,423,0.9976359338061466,0.49940828402366866,0.9988165680473373,0.9976359338061466,1.0,0.9976359338061466,0.9992318535933806
train,Cờ bạc / Betting,502,0.99800796812749,0.4995014955134596,0.9990029910269193,0.99800796812749,1.0,0.99800796812749,0.9993906932270917
train,Viễn thông,676,1.0,1.0,0.0,0.0,0.0,1.0,0.9993893163905324
train,Tuyển dụng giả,522,1.0,1.0,1.0,1.0,1.0,1.0,0.999598824578544
train,BHXH / Trợ cấp giả,496,1.0,1.0,1.0,1.0,1.0,1.0,0.9995920812903227
train,Crypto / Đầu tư giả,491,1.0,1.0,1.0,1.0,1.0,1.0,0.9995519183095722
train,Nội dung nhạy cảm,485,1.0,1.0,1.0,1.0,1.0,1.0,0.9993565864536081
train,Đòi nợ / Đe dọa,370,1.0,1.0,1.0,1.0,1.0,1.0,0.9992377360270269
train,P2P hội thoại thông thường,350,1.0,1.0,0.0,0.0,0.0,1.0,0.9991281445142857
train,Quảng cáo hợp lệ,237,1.0,1.0,0.0,0.0,0.0,1.0,0.9993468808438819
train,Dịch vụ công thật,229,1.0,1.0,0.0,0.0,0.0,1.0,0.997831308908297
train,Vận chuyển,207,1.0,1.0,0.0,0.0,0.0,1.0,0.9992221536231887
train,Thương mại điện tử,190,1.0,1.0,0.0,0.0,0.0,1.0,0.9994265864210526
train,Dịch vụ y tế,156,1.0,1.0,0.0,0.0,0.0,1.0,0.9994503252564103
val,Khác,111,0.954954954954955,0.9474282466609832,0.927536231884058,0.9142857142857143,0.9411764705882353,0.954954954954955,0.9942339080180179
val,Thương mại điện tử,25,0.96,0.4897959183673469,0.0,0.0,0.0,0.96,0.9859244123999998
val,Dịch vụ công giả,57,0.9649122807017544,0.49107142857142855,0.9821428571428571,0.9649122807017544,1.0,0.9649122807017544,0.9972573277192983
val,Vận chuyển,29,0.9655172413793104,0.49122807017543857,0.0,0.0,0.0,0.9655172413793104,0.9994554410344827
val,Quảng cáo hợp lệ,43,0.9767441860465116,0.49411764705882355,0.0,0.0,0.0,0.9767441860465116,0.9989355695348838
val,Dịch vụ công thật,46,0.9782608695652174,0.4945054945054945,0.0,0.0,0.0,0.9782608695652174,0.9862817902173914
val,Giả mạo ngân hàng,57,0.9824561403508771,0.49557522123893805,0.9911504424778761,0.9824561403508771,1.0,0.9824561403508771,0.9994409456140352
val,Cờ bạc / Betting,70,0.9857142857142858,0.49640287769784175,0.9928057553956835,0.9857142857142858,1.0,0.9857142857142858,0.995218415142857
val,Tin nhắn cá nhân và OTP,80,0.9875,0.4968553459119497,0.0,0.0,0.0,0.9875,0.999312209375
val,Viễn thông,179,1.0,1.0,0.0,0.0,0.0,1.0,0.9993729042458099
val,Tuyển dụng giả,73,1.0,1.0,1.0,1.0,1.0,1.0,0.9996039376712329
val,BHXH / Trợ cấp giả,67,1.0,1.0,1.0,1.0,1.0,1.0,0.9996002916417909
val,Nội dung nhạy cảm,64,1.0,1.0,1.0,1.0,1.0,1.0,0.99251944015625
val,Crypto / Đầu tư giả,63,1.0,1.0,1.0,1.0,1.0,1.0,0.9995618363492065
val,Đòi nợ / Đe dọa,51,1.0,1.0,1.0,1.0,1.0,1.0,0.9995598570588234
val,Ngân hàng thật,50,1.0,1.0,0.0,0.0,0.0,1.0,0.997717913
val,P2P hard negative,50,1.0,1.0,0.0,0.0,0.0,1.0,0.997058047
val,P2P hội thoại thông thường,50,1.0,1.0,0.0,0.0,0.0,1.0,0.999364822
val,Dịch vụ y tế,21,1.0,1.0,0.0,0.0,0.0,1.0,0.9994116242857142
test_real,Giả mạo ngân hàng,10,0.5,0.3333333333333333,0.6666666666666666,0.5,1.0,0.5,0.9688349119999999
test_real,Dịch vụ công giả,2,0.5,0.3333333333333333,0.6666666666666666,0.5,1.0,0.5,0.974920005
test_real,Nội dung nhạy cảm,2,0.5,0.3333333333333333,0.6666666666666666,0.5,1.0,0.5,0.89134998
test_real,Đòi nợ / Đe dọa,2,0.5,0.3333333333333333,0.6666666666666666,0.5,1.0,0.5,0.99945205
test_real,Cờ bạc / Betting,8,0.875,0.4666666666666667,0.9333333333333333,0.875,1.0,0.875,0.9987517662500001
test_real,Khác,83,0.9518072289156626,0.8203463203463204,0.6666666666666666,0.5714285714285714,0.8,0.9518072289156626,0.9942140592771082
test_real,Dịch vụ công thật,26,0.9615384615384616,0.49019607843137253,0.0,0.0,0.0,0.9615384615384616,0.997196668076923
test_real,Viễn thông,159,1.0,1.0,0.0,0.0,0.0,1.0,0.9993699085534592
test_real,Tin nhắn cá nhân và OTP,45,1.0,1.0,0.0,0.0,0.0,1.0,0.9887732913333335
test_real,Quảng cáo hợp lệ,20,1.0,1.0,0.0,0.0,0.0,1.0,0.9993366809999997
test_real,Ngân hàng thật,19,1.0,1.0,0.0,0.0,0.0,1.0,0.9993848905263158
test_real,Tuyển dụng giả,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9995103275
test_real,Vận chuyển,3,1.0,1.0,0.0,0.0,0.0,1.0,0.9994498333333333
test_real,BHXH / Trợ cấp giả,2,1.0,1.0,1.0,1.0,1.0,1.0,0.999541425
test_mixed,Khác,84,0.9523809523809523,0.9495192307692308,0.9375,0.9090909090909091,0.967741935483871,0.9523809523809523,0.9855916173809524
test_mixed,Giả mạo ngân hàng,53,0.9622641509433962,0.49038461538461536,0.9807692307692307,0.9622641509433962,1.0,0.9622641509433962,0.9965614654716982
test_mixed,Dịch vụ công thật,37,0.972972972972973,0.4931506849315068,0.0,0.0,0.0,0.972972972972973,0.9828880137837838
test_mixed,Ngân hàng thật,44,0.9772727272727273,0.4942528735632184,0.0,0.0,0.0,0.9772727272727273,0.9960980879545452
test_mixed,Dịch vụ công giả,57,0.9824561403508771,0.49557522123893805,0.9911504424778761,0.9824561403508771,1.0,0.9824561403508771,0.9986580019298245
test_mixed,Tin nhắn cá nhân và OTP,65,0.9846153846153847,0.49612403100775193,0.0,0.0,0.0,0.9846153846153847,0.9947348983076924
test_mixed,Viễn thông,126,1.0,1.0,0.0,0.0,0.0,1.0,0.9993844836507935
test_mixed,Tuyển dụng giả,72,1.0,1.0,1.0,1.0,1.0,1.0,0.9995835470833333
test_mixed,BHXH / Trợ cấp giả,67,1.0,1.0,1.0,1.0,1.0,1.0,0.9994795728358209
test_mixed,Cờ bạc / Betting,67,1.0,1.0,1.0,1.0,1.0,1.0,0.9994506204477613
test_mixed,Crypto / Đầu tư giả,63,1.0,1.0,1.0,1.0,1.0,1.0,0.9995575371428573
test_mixed,Nội dung nhạy cảm,63,1.0,1.0,1.0,1.0,1.0,1.0,0.9995549955555555
test_mixed,P2P hard negative,50,1.0,1.0,0.0,0.0,0.0,1.0,0.995018784
test_mixed,P2P hội thoại thông thường,50,1.0,1.0,0.0,0.0,0.0,1.0,0.9993404424000001
test_mixed,Đòi nợ / Đe dọa,50,1.0,1.0,1.0,1.0,1.0,1.0,0.9994499374000001
test_mixed,Quảng cáo hợp lệ,37,1.0,1.0,0.0,0.0,0.0,1.0,0.9993164664864866
test_mixed,Vận chuyển,28,1.0,1.0,0.0,0.0,0.0,1.0,0.9994727692857142
test_mixed,Thương mại điện tử,25,1.0,1.0,0.0,0.0,0.0,1.0,0.9994663796000001
test_mixed,Dịch vụ y tế,21,1.0,1.0,0.0,0.0,0.0,1.0,0.9994526352380952
test_challenge,Cờ bạc / Betting,24,0.9166666666666666,0.4782608695652174,0.9565217391304348,0.9166666666666666,1.0,0.9166666666666666,0.9741688679166666
test_challenge,Dịch vụ công thật,27,0.9629629629629629,0.49056603773584906,0.0,0.0,0.0,0.9629629629629629,0.9980243692592593
test_challenge,Giả mạo ngân hàng,33,0.9696969696969697,0.49230769230769234,0.9846153846153847,0.9696969696969697,1.0,0.9696969696969697,0.9899257363636365
test_challenge,Tin nhắn cá nhân và OTP,48,0.9791666666666666,0.49473684210526314,0.0,0.0,0.0,0.9791666666666666,0.9971239449999999
test_challenge,Khác,112,0.9821428571428571,0.981999357119897,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9821428571428571,0.9957221502678572
test_challenge,Viễn thông,116,1.0,1.0,0.0,0.0,0.0,1.0,0.9993920795689654
test_challenge,P2P hard negative,50,1.0,1.0,0.0,0.0,0.0,1.0,0.9993463845999999
test_challenge,P2P hội thoại thông thường,50,1.0,1.0,0.0,0.0,0.0,1.0,0.9980214674
test_challenge,Tuyển dụng giả,38,1.0,1.0,1.0,1.0,1.0,1.0,0.9995781692105264
test_challenge,BHXH / Trợ cấp giả,32,1.0,1.0,1.0,1.0,1.0,1.0,0.9992400040625
test_challenge,Dịch vụ công giả,32,1.0,1.0,1.0,1.0,1.0,1.0,0.9989267190625
test_challenge,Ngân hàng thật,28,1.0,1.0,0.0,0.0,0.0,1.0,0.9994058835714287
test_challenge,Đòi nợ / Đe dọa,26,1.0,1.0,1.0,1.0,1.0,1.0,0.9995327407692309
test_challenge,Quảng cáo hợp lệ,25,1.0,1.0,0.0,0.0,0.0,1.0,0.9993702611999999
