split,data_origin,rows,accuracy,macro_f1,f1_label_1,recall_label_1,precision_label_1,agree_rate,mean_confidence
train,real,1281,0.9890710382513661,0.9675761871013466,0.9411764705882353,0.9180327868852459,0.9655172413793104,0.9890710382513661,0.9965623701483216
train,external_curated,351,0.9971509971509972,0.4992867332382311,0.0,0.0,0.0,0.9971509971509972,0.9982915498290599
train,synthetic,1506,0.99933598937583,0.9760233080192959,0.9523809523809523,1.0,0.9090909090909091,0.99933598937583,0.9994123076759629
train,paraphrased,3333,1.0,1.0,1.0,1.0,1.0,1.0,0.9995529213111312
train,synthetic_hard_positive,391,1.0,1.0,1.0,1.0,1.0,1.0,0.9994452162659847
train,external_real,350,1.0,1.0,0.0,0.0,0.0,1.0,0.9991281445142857
val,real,385,0.9714285714285714,0.9167665729840215,0.8493150684931506,0.8378378378378378,0.8611111111111112,0.9714285714285714,0.9952656625194805
val,synthetic_hard_positive,66,0.9848484848484849,0.4961832061068702,0.9923664122137404,0.9848484848484849,1.0,0.9848484848484849,0.9976568025757574
val,synthetic,201,0.9900497512437811,0.4975,0.0,0.0,0.0,0.9900497512437811,0.9967050262686565
val,paraphrased,434,1.0,1.0,1.0,1.0,1.0,1.0,0.9989723294470045
val,external_curated,50,1.0,1.0,0.0,0.0,0.0,1.0,0.997058047
val,external_real,50,1.0,1.0,0.0,0.0,0.0,1.0,0.999364822
test_real,real,385,0.9636363636363636,0.880709985835694,0.78125,0.6756756756756757,0.9259259259259259,0.9636363636363636,0.9953813542337662
test_mixed,real,258,0.9689922480620154,0.9045328399629973,0.8260869565217391,0.76,0.9047619047619048,0.9689922480620154,0.9918899479844961
test_mixed,synthetic,201,0.9900497512437811,0.4975,0.0,0.0,0.0,0.9900497512437811,0.997204856119403
test_mixed,paraphrased,434,1.0,1.0,1.0,1.0,1.0,1.0,0.9995648914746543
test_mixed,synthetic_hard_positive,66,1.0,1.0,1.0,1.0,1.0,1.0,0.9984763059090908
test_mixed,external_curated,50,1.0,1.0,0.0,0.0,0.0,1.0,0.995018784
test_mixed,external_real,50,1.0,1.0,0.0,0.0,0.0,1.0,0.9993404424000001
test_challenge,real,258,0.9844961240310077,0.9557081545064379,0.92,0.92,0.92,0.9844961240310077,0.9948219466666668
test_challenge,synthetic,100,0.99,0.49748743718592964,0.0,0.0,0.0,0.99,0.9992507171999999
test_challenge,synthetic_hard_positive,130,0.9923076923076923,0.4980694980694981,0.9961389961389961,0.9923076923076923,1.0,0.9923076923076923,0.9970174513846154
test_challenge,paraphrased,132,0.9924242424242424,0.49809885931558934,0.9961977186311787,0.9924242424242424,1.0,0.9924242424242424,0.9995821122727271
test_challenge,external_curated,50,1.0,1.0,0.0,0.0,0.0,1.0,0.9993463845999999
test_challenge,external_real,50,1.0,1.0,0.0,0.0,0.0,1.0,0.9980214674
