variant_key,error_type,suggested_reason,n
A_real_only,FN,FN_obfuscation_or_leet,9
A_real_only,FP,FP_official_brandlike,4
A_real_only,FP,FP_legitimate_recruitment_like,3
A_real_only,FP,FP_legitimate_with_url,3
A_real_only,FP,FP_legitimate_promotion_reward,1
B1_class_weight_default,FN,FN_obfuscation_or_leet,8
B1_class_weight_default,FP,FP_legitimate_recruitment_like,3
B1_class_weight_default,FP,FP_legitimate_with_url,3
B1_class_weight_default,FP,FP_official_brandlike,3
B1_class_weight_default,FP,FP_legitimate_promotion_reward,2
B1_class_weight_default,FP,FP_legitimate_url_and_phone,1
B2_class_weight_threshold,FN,FN_obfuscation_or_leet,8
B2_class_weight_threshold,FP,FP_legitimate_promotion_reward,4
B2_class_weight_threshold,FP,FP_legitimate_recruitment_like,4
B2_class_weight_threshold,FP,FP_official_brandlike,4
B2_class_weight_threshold,FP,FP_legitimate_with_url,3
B2_class_weight_threshold,FP,FP_legitimate_url_and_phone,1
E1_500,FN,FN_obfuscation_or_leet,7
E1_500,FP,FP_legitimate_recruitment_like,5
E1_500,FP,FP_other_or_ambiguous,4
E1_500,FP,FP_legitimate_with_url,3
E1_500,FP,FP_legitimate_promotion_reward,1
E2_1000,FN,FN_obfuscation_or_leet,8
E2_1000,FP,FP_legitimate_recruitment_like,4
E2_1000,FP,FP_legitimate_with_url,4
E2_1000,FP,FP_other_or_ambiguous,3
E3_2000,FN,FN_obfuscation_or_leet,10
E3_2000,FP,FP_legitimate_recruitment_like,4
E3_2000,FP,FP_legitimate_promotion_reward,3
E3_2000,FP,FP_legitimate_with_url,3
E3_2000,FP,FP_other_or_ambiguous,3
E4_all,FN,FN_obfuscation_or_leet,11
E4_all,FP,FP_legitimate_with_url,3
E4_all,FP,FP_legitimate_recruitment_like,2
E4_all,FP,FP_official_brandlike,1
E4_all,FP,FP_other_or_ambiguous,1
G0_E4_champion,FN,FN_obfuscation_or_leet,9
G0_E4_champion,FP,FP_other_or_ambiguous,63
G0_E4_champion,FP,FP_legitimate_recruitment_like,35
G0_E4_champion,FP,FP_legitimate_promotion_reward,9
G0_E4_champion,FP,FP_official_brandlike,6
G0_E4_champion,FP,FP_legitimate_with_url,3
G1_external_all,FN,FN_obfuscation_or_leet,12
G1_external_all,FP,FP_legitimate_recruitment_like,7
G1_external_all,FP,FP_legitimate_with_url,4
G1_external_all,FP,FP_legitimate_promotion_reward,1
G2_external_curated,FN,FN_obfuscation_or_leet,11
G2_external_curated,FP,FP_legitimate_recruitment_like,6
G2_external_curated,FP,FP_legitimate_with_url,4
G2_external_curated,FP,FP_other_or_ambiguous,1
G3_external_plus_synthetic_label0,FN,FN_obfuscation_or_leet,11
G3_external_plus_synthetic_label0,FP,FP_other_or_ambiguous,6
G3_external_plus_synthetic_label0,FP,FP_legitimate_recruitment_like,3
G3_external_plus_synthetic_label0,FP,FP_legitimate_with_url,3
G3_external_plus_synthetic_label0,FP,FP_legitimate_promotion_reward,1
