variant_key,seed,eval_subset,error_type,n
A_real_only,42,real_test,FN,3
A_real_only,42,real_test,FP,3
A_real_only,123,real_test,FN,3
A_real_only,123,real_test,FP,4
A_real_only,2025,real_test,FN,3
A_real_only,2025,real_test,FP,4
B1_class_weight_default,42,real_test,FN,3
B1_class_weight_default,42,real_test,FP,4
B1_class_weight_default,123,real_test,FN,3
B1_class_weight_default,123,real_test,FP,3
B1_class_weight_default,2025,real_test,FN,2
B1_class_weight_default,2025,real_test,FP,5
B2_class_weight_threshold,42,real_test,FN,3
B2_class_weight_threshold,42,real_test,FP,6
B2_class_weight_threshold,123,real_test,FN,3
B2_class_weight_threshold,123,real_test,FP,3
B2_class_weight_threshold,2025,real_test,FN,2
B2_class_weight_threshold,2025,real_test,FP,7
E1_500,42,real_test,FN,4
E1_500,42,real_test,FP,1
E1_500,123,real_test,FN,2
E1_500,123,real_test,FP,4
E1_500,2025,real_test,FN,1
E1_500,2025,real_test,FP,8
E2_1000,42,real_test,FN,4
E2_1000,42,real_test,FP,1
E2_1000,123,real_test,FN,3
E2_1000,123,real_test,FP,2
E2_1000,2025,real_test,FN,1
E2_1000,2025,real_test,FP,8
E3_2000,42,real_test,FN,3
E3_2000,42,real_test,FP,4
E3_2000,123,real_test,FN,4
E3_2000,123,real_test,FP,4
E3_2000,2025,real_test,FN,3
E3_2000,2025,real_test,FP,5
E4_all,42,real_test,FN,3
E4_all,42,real_test,FP,5
E4_all,123,real_test,FN,3
E4_all,123,real_test,FP,1
E4_all,2025,real_test,FN,5
E4_all,2025,real_test,FP,1
G0_E4_champion,42,external_curated,FP,29
G0_E4_champion,42,external_real,FP,11
G0_E4_champion,42,real,FN,4
G0_E4_champion,42,real,FP,4
G0_E4_champion,123,external_curated,FP,32
G0_E4_champion,123,external_real,FP,9
G0_E4_champion,123,real,FN,2
G0_E4_champion,123,real,FP,4
G0_E4_champion,2025,external_curated,FP,19
G0_E4_champion,2025,external_real,FP,4
G0_E4_champion,2025,real,FN,3
G0_E4_champion,2025,real,FP,4
G1_external_all,42,real,FN,6
G1_external_all,42,real,FP,1
G1_external_all,123,real,FN,3
G1_external_all,123,real,FP,4
G1_external_all,2025,real,FN,3
G1_external_all,2025,real,FP,7
G2_external_curated,42,real,FN,5
G2_external_curated,42,real,FP,1
G2_external_curated,123,real,FN,3
G2_external_curated,123,real,FP,4
G2_external_curated,2025,real,FN,3
G2_external_curated,2025,real,FP,6
G3_external_plus_synthetic_label0,42,real,FN,3
G3_external_plus_synthetic_label0,42,real,FP,5
G3_external_plus_synthetic_label0,123,real,FN,3
G3_external_plus_synthetic_label0,123,real,FP,4
G3_external_plus_synthetic_label0,2025,real,FN,5
G3_external_plus_synthetic_label0,2025,real,FP,4
