variant_key,seed,FN,FP,total_errors
A_real_only,42,3,3,6
A_real_only,123,3,4,7
A_real_only,2025,3,4,7
B1_class_weight_default,42,3,4,7
B1_class_weight_default,123,3,3,6
B1_class_weight_default,2025,2,5,7
B2_class_weight_threshold,42,3,6,9
B2_class_weight_threshold,123,3,3,6
B2_class_weight_threshold,2025,2,7,9
E4_all,42,3,5,8
E4_all,123,3,1,4
E4_all,2025,5,1,6
G0_E4_champion,42,4,44,48
G0_E4_champion,123,2,45,47
G0_E4_champion,2025,3,27,30
G2_external_curated,42,5,1,6
G2_external_curated,123,3,4,7
G2_external_curated,2025,3,6,9
