content,label,data_origin
Tiki: Don hang TKI-2293847561 da giao thanh cong. Quy khach vui long vao ung dung Tiki de xac nhan va danh gia chat luong dich vu.,0,synthetic
"Công ty Thế Giới Di Động tuyển gấp nhân viên nhập liệu online, không cần kinh nghiệm. Mức lương 1.200.000 VNĐ/ngày. Độ tuổi 18-70. Liên hệ Facebook: dangtuyen24h.online",1,paraphrased
Shopee: Don hang #240522MNBVCP cua ban da dat thanh cong. Theo doi tai app Shopee.,0,synthetic
Sendo: Chuc mung Quy khach da dat hang thanh cong don hang 928374651. Sendo se thong bao cho Quy khach khi don hang bat dau duoc van chuyen.,0,synthetic
Wintel: Chúc mừng Quý khách nhận được ưu đãi giảm 50% khi nâng cấp lên gói WIN89. Ưu đãi không giới hạn data tốc độ cao. Đăng ký ngay trên ứng dụng Wintel trước ngày 20/11/2023.,0,synthetic
Lazada: Don hang 778899001122 da giao thanh cong. Moi ban vao ung dung Lazada de xac nhan da nhan hang va danh gia shop.,0,synthetic
[JT] JT776655443322: Shipper se den lay hang luc 16:30. Quy khach vui long chuan bi kien hang.,0,synthetic
GHTK-GHTK1122334455: Kien hang da giao thanh cong luc 15:30 ngay 28/05. Cam on quy khach!,0,synthetic
[BHXH VN] Thong bao: Quy khach da hoan thanh dong BHXH tu nguyen thang 10/2024. Thoi gian tham gia BHXH cua ban la 5 nam 3 thang. Tra cuu tai vssid.gov.vn.,0,synthetic
829471 la ma xac thuc tai khoan Zalo cua ban.,0,synthetic
Medpro: Ma OTP de dang nhap he thong la 882103. Ma co gia tri trong 10 phut. Vui long khong cung cap OTP cho bat ky ai.,0,synthetic
BV Nhan Dan 115: Ket qua chup MRI cua BN Phan Van Thanh da co. Moi ban truy cap link 115.org.vn/ketqua de xem ket qua.,0,synthetic
BV Nhi TW nhac lich tiem vaccine 6in1 cho be TRAN VAN HUNG luc 10h ngay 20/05/2024 tai Phong 102 nha. LH 0901234567 neu can doi lich.,0,synthetic
BV Dai hoc Y Ha Noi: Nhac benh nhan Vu Minh Tuan tai kham tai Phong 202 vao ngay 20/10. Vui long mang theo so kham benh va don thuoc cu.,0,synthetic
Tong cuc Thue thong bao nang cap he thong Khai thue qua mang tu 18h ngay 15/10 den 06h ngay 16/10. Quy khach vui long sap xep thoi gian giao dich phu hop.,0,synthetic
