content,label,data_origin
San bong 247: Xac nhan thue san 1 luc 17h ngay hom nay. Cam on ban.,0,synthetic
"Bạn ơi, tham gia nhóm đầu tư sinh lời siêu tốc chưa? Chuyên gia hướng dẫn trade tự động, hứa hẹn lợi nhuận 50 triệu/tháng. Nạp tiền vào ví: 9834728109, chủ tài khoản NGUYEN THANH LONG",1,paraphrased
BV Nhan Dan 115: Ket qua xet nghiem nuoc tieu cua Quy khach Phan Van Binh da san sang. Vui long den quay so 4 de nhan.,0,synthetic
BHXH VIET NAM: Ma OTP xac nhan dang ky tai khoan VssID cua ban la 748291. Ma co hieu luc trong 5 phut. Moi thac mac lien he tong dai 19009068.,0,synthetic
Ban co lich hen cat toc luc 17h hom nay tai 30Shine.,0,synthetic
Chúc mừng! Bạn vừa đủ điều kiện nhận hỗ trợ từ Quỹ An sinh xã hội. Nhận ngay tại: goo.gl/abcd123. Quá hạn sẽ không được xét duyệt! 9xYz,1,paraphrased
VPBank: Ky sao ke the tin dung ****4455 thang 08 da duoc phat hanh. Han thanh toan 25/08. Chi tiet tai vpbank.com.vn.,0,synthetic
Sendo: Sendo da nhan don hang 229384756 cua ban. Shop dang chuan bi hang de gui den ban. Theo doi tai sendo.vn/don-hang,0,synthetic
Nghị định 284: Quý khách đã đủ tiêu chuẩn nhận trợ cấp Bảo hiểm xã hội. Truy cập ngay hcm.rewqa.vn. QUÁ HẠN SẼ KHÔNG ĐƯỢC GIẢI QUYẾT!,1,paraphrased
"Tập đoàn ALPHA tuyển gấp nhân viên cộng tác viên online. Lương hậu hĩnh 1,5tr-3tr/ngày. Độ tuổi 20-60. Công việc nhẹ nhàng, không đòi hỏi kinh nghiệm. Liên hệ ngay Zalo: zalo.me/84987654321 hoặc gọi 84987654321",1,paraphrased
"ShopeePay: Giới thiệu bạn mới dùng ví, nhận ngay 100.000đ vào tài khoản ShopeePay. Người được mời nhận gói voucher 300.000đ. Áp dụng đến 31/08/2025. Chi tiết tại shopeepay.vn.",0,synthetic
W88B3t-tang-v0u-ch3r-500k. N4p 1tr nh4n 5tr. 1 v0ng cu0c rut. Click: t.ly/xYz9m uV45k,1,paraphrased
"[TB] Quy khach da dung het 100% luu luong toc do cao cua goi ST90K. De tiep tuc truy cap toc do cao, vui long soan ST15K gui 191 (15.000d/3GB/3ngay). Chi tiet LH 198 (0d).",0,synthetic
Facebook: 948210 la ma xac nhan dang nhap cua ban.,0,synthetic
"[Đà Nẵng – Zalo] ""Mình mong muốn tìm kiếm một đêm thật thú vị tại Đà Nẵng. Nếu bạn quan tâm, hãy nhắn cho mình nhé: zalo.me/gv_dn_982""",1,paraphrased
Medpro: Ma OTP de dang nhap he thong la 882103. Ma co gia tri trong 10 phut. Vui long khong cung cap OTP cho bat ky ai.,0,synthetic
