setup,variant,n_seeds_completed,metric,mean,std,is_primary,seed_42,seed_123,seed_2025
F_label0_source_augmentation,F1_synthetic_label0_control,3,macro_f1,0.9501,0.0096,True,0.9402,0.947,0.9631
F_label0_source_augmentation,F1_synthetic_label0_control,3,f1_label1,0.9098,0.0174,True,0.8919,0.9041,0.9333
F_label0_source_augmentation,F1_synthetic_label0_control,3,recall_label1,0.9099,0.0255,True,0.8919,0.8919,0.9459
F_label0_source_augmentation,F1_synthetic_label0_control,3,precision_label1,0.9099,0.0128,True,0.8919,0.9167,0.9211
F_label0_source_augmentation,F1_synthetic_label0_control,3,auprc,0.9482,0.0095,True,0.9348,0.9536,0.9562
F_label0_source_augmentation,F1_synthetic_label0_control,3,accuracy,0.9827,0.0032,False,0.9793,0.9819,0.987
F_label0_source_augmentation,F1_synthetic_label0_control,3,auroc,0.9859,0.0038,False,0.9818,0.985,0.9909
F_label0_source_augmentation,F2a_external_real_label0,3,macro_f1,0.9345,0.0106,True,0.927,0.9495,0.927
F_label0_source_augmentation,F2a_external_real_label0,3,f1_label1,0.882,0.0192,True,0.8684,0.9091,0.8684
F_label0_source_augmentation,F2a_external_real_label0,3,recall_label1,0.9099,0.0255,True,0.8919,0.9459,0.8919
F_label0_source_augmentation,F2a_external_real_label0,3,precision_label1,0.8558,0.0136,True,0.8462,0.875,0.8462
F_label0_source_augmentation,F2a_external_real_label0,3,auprc,0.944,0.0209,True,0.9531,0.9638,0.9151
F_label0_source_augmentation,F2a_external_real_label0,3,accuracy,0.9767,0.0037,False,0.9741,0.9819,0.9741
F_label0_source_augmentation,F2a_external_real_label0,3,auroc,0.9927,0.0019,False,0.9952,0.9907,0.9921
F_label0_source_augmentation,F2b_external_curated_label0,3,macro_f1,0.9485,0.0111,True,0.9483,0.9622,0.9351
F_label0_source_augmentation,F2b_external_curated_label0,3,f1_label1,0.9071,0.0198,True,0.9067,0.9315,0.8831
F_label0_source_augmentation,F2b_external_curated_label0,3,recall_label1,0.9189,0.0,True,0.9189,0.9189,0.9189
F_label0_source_augmentation,F2b_external_curated_label0,3,precision_label1,0.8964,0.0386,True,0.8947,0.9444,0.85
F_label0_source_augmentation,F2b_external_curated_label0,3,auprc,0.9636,0.0046,True,0.9678,0.9656,0.9572
F_label0_source_augmentation,F2b_external_curated_label0,3,accuracy,0.9819,0.0042,False,0.9819,0.987,0.9767
F_label0_source_augmentation,F2b_external_curated_label0,3,auroc,0.9945,0.0004,False,0.9947,0.9947,0.9939
F_label0_source_augmentation,F2c_external_all_label0,3,macro_f1,0.9395,0.012,True,0.9335,0.9562,0.9287
F_label0_source_augmentation,F2c_external_all_label0,3,f1_label1,0.8909,0.0215,True,0.88,0.9211,0.8718
F_label0_source_augmentation,F2c_external_all_label0,3,recall_label1,0.9189,0.0221,True,0.8919,0.9459,0.9189
F_label0_source_augmentation,F2c_external_all_label0,3,precision_label1,0.865,0.0279,True,0.8684,0.8974,0.8293
F_label0_source_augmentation,F2c_external_all_label0,3,auprc,0.9601,0.0208,True,0.9323,0.9825,0.9656
F_label0_source_augmentation,F2c_external_all_label0,3,accuracy,0.9784,0.0044,False,0.9767,0.9845,0.9741
F_label0_source_augmentation,F2c_external_all_label0,3,auroc,0.9952,0.0026,False,0.9916,0.9978,0.9961
