split,comparison,metric,mean_delta,ci95_low,ci95_high,positive_seeds
dev,vanilla_kd - hard,macro_f1,-0.0064337513525316165,-0.021617780997831265,0.006668309198159212,1/3
dev,vanilla_kd - hard,f1_label_1,-0.011870684436779548,-0.04019468376410871,0.012734837461468546,1/3
dev,vanilla_kd - hard,recall_label_1,0.00040364916252112575,-0.024134539732494097,0.027777777777777752,1/3
dev,vanilla_kd - hard,pr_auc,-0.006223102941654344,-0.02539402713467448,0.014128006082865062,0/3
dev,risk_aware_kd - hard,macro_f1,-0.00140782043836909,-0.01737336766248099,0.014564874311067915,1/3
dev,risk_aware_kd - hard,f1_label_1,-0.0024169913030387584,-0.03178020758498174,0.027441254243299046,1/3
dev,risk_aware_kd - hard,recall_label_1,0.01712982074458325,-0.015473803795776567,0.05413724898401224,2/3
dev,risk_aware_kd - hard,pr_auc,0.012480977603102513,-0.00558105115225472,0.033404457881297867,2/3
test,vanilla_kd - hard,macro_f1,-0.012445535357351168,-0.03429286006255632,0.009589664607416535,1/3
test,vanilla_kd - hard,f1_label_1,-0.022487432470288487,-0.06391890772438069,0.018284092283909623,1/3
test,vanilla_kd - hard,recall_label_1,0.00927326456185833,-0.04652272781817743,0.060429880197322046,1/3
test,vanilla_kd - hard,pr_auc,0.008115858266033104,-0.011030512113708455,0.02833678367639418,2/3
test,risk_aware_kd - hard,macro_f1,0.01721133185694666,-0.006156405928207205,0.04103164027780999,3/3
test,risk_aware_kd - hard,f1_label_1,0.03283346632557944,-0.010584683412165802,0.0776458301903275,3/3
test,risk_aware_kd - hard,recall_label_1,0.09003003210261089,0.03571249967526565,0.14763984185423792,2/3
test,risk_aware_kd - hard,pr_auc,0.008296098097349497,-0.012583929176447371,0.028962024272583355,1/3
